name,label,summary,description
apcu-panel,服务, APCu control panel," This package provides the APCu control panel, with Apache
configuration, available on http://localhost/apcu-panel/"
dde-account-faces,服务, Account faces for Linux Deepin, Account faces for Linux Deepin
hypervvssd,服务, Hyper-V VSS daemon," Hypervvssd is an implementation of Hyper-V VSS functionality
for Linux. The daemon is used for host initiated guest snapshot
on Hyper-V hypervisor. The daemon first registers with the
kernel driver. After this is done it waits for instructions
from Windows Host if to ""freeze"" or ""thaw"" the filesystem
on the Linux Guest."
fdo-rendezvous-server,服务, FDO Rendezvous Server implementation, FDO Rendezvous Server implementation
bind-license,服务, License of the BIND DNS suite, Contains license of the BIND DNS suite.
iwpmd,服务,iWarp Port Mapper userspace daemon ,"iwpmd provides a userspace service for iWarp drivers to claim
tcp ports through the standard socket interface. "
pcp-pmda-haproxy,服务, Performance Co-Pilot (PCP) metrics for HAProxy," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
extracting performance metrics from HAProxy over the HAProxy stats socket."
startdde,服务, Starter of deepin desktop environment, Starter of deepin desktop environment.
lvm2-lockd,服务,LVM locking daemon ,"
LVM commands use lvmlockd to coordinate access to shared storage. "
lorax-composer,服务, Lorax Image Composer API Server, lorax-composer provides a REST API for building images using lorax.
pki-acme,服务, PKI ACME Package," The PKI ACME responder is a service that provides an automatic certificate
management via ACME v2 protocol defined in RFC 8555."
qemu-guest-agent,服务, QEMU guest agent," qemu-kvm is an open source virtualizer that provides hardware emulation for
the KVM hypervisor.

This package provides an agent to run inside guests, which communicates
with the host over a virtio-serial channel named ""org.qemu.guest_agent.0""

This package does not need to be installed on the host OS."
gnome-shell-extension-systemMonitor,服务, System Monitor for GNOME Shell, This GNOME Shell extension is a message tray indicator for CPU and memory usage
rtkit,服务, Realtime Policy and Watchdog Daemon," RealtimeKit is a D-Bus system service that changes the
scheduling policy of user processes/threads to SCHED_RR (i.e. realtime
scheduling mode) on request. It is intended to be used as a secure
mechanism to allow real-time scheduling to be used by normal user
processes."
bacula-storage,服务, Bacula storage daemon files," Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the storage daemon, the daemon responsible for writing
the data received from the clients onto tape drives or other mass storage
devices."
fence-agents-cisco-ucs,服务, Fence agent for Cisco UCS series," Fence agent for Cisco UCS series devices that are accessed
via the SNMP protocol."
httpd-filesystem,服务, The basic directory layout for the Apache HTTP server," The httpd-filesystem package contains the basic directory layout
for the Apache HTTP server including the correct permissions
for the directories."
pcp-pmda-hacluster,服务, Performance Co-Pilot (PCP) metrics for High Availability Clusters," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about linux High Availability (HA) Clusters."
fence-agents-vmware-rest,服务, Fence agent for VMWare with REST API, Fence agent for VMWare with REST API.
dde-server-industry-config,服务, DDE desktop-server industry version special configuration file., DDE desktop-server industry version special configuration file.
gnome-getting-started-docs-cs,服务, Czech translations for gnome-getting-started-docs videos, Czech (cs) translations for the Getting Started guide videos.
gnome-shell-extension-heads-up-display,服务, Display persistent on-screen message," This GNOME Shell extension displays a persistent message in the top middle of the screen.
This message can appear on the login screen, lock screen, or regular user session."
deepin-desktop-server,服务, Base files for Deepin Desktop Server, Base files for Deepin Desktop Server.
cronie-anacron,服务, Utility for running regular jobs," Anacron is part of cronie that is used for running jobs with regular
periodicity which do not have exact time of day of execution.

The default settings of anacron execute the daily, weekly, and monthly
jobs, but anacron allows setting arbitrary periodicity of jobs.

Using anacron allows running the periodic jobs even if the system is often
powered off and it also allows randomizing the time of the job execution
for better utilization of resources shared among multiple systems."
fence-agents-lpar,服务, Fence agent for IBM LPAR, Fence agent for IBM LPAR devices that are accessed via telnet or SSH.
rng-tools,服务,Random number generator related utilities ,"This is a random number generator daemon and its tools. It monitors
a set of entropy sources present on a system (like /dev/hwrng, RDRAND,
TPM, jitter) and supplies entropy from them to a kernel entropy pool. "
mariadb-errmsg,服务, The error messages files required by server and embedded," The package provides error messages files for the MariaDB daemon and the
embedded server. You will need to install this package to use any of those
MariaDB packages."
gnome-shell-extension-drive-menu,服务, Drive status menu for GNOME Shell," This GNOME Shell extension provides a panel status menu for accessing and
unmounting removable devices."
shim-x64,服务,First-stage UEFI bootloader ,"Initial UEFI bootloader that handles chaining to a trusted full
bootloader under secure boot environments. This package contains the
version signed by the UEFI signing service. "
pcp-pmda-shping,服务, Performance Co-Pilot (PCP) metrics for shell command responses," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about quality of service and response time measurements of
arbitrary shell commands."
device-mapper-event,服务, Device-mapper event daemon," This package contains the dmeventd daemon for monitoring the state
of device-mapper devices."
thermald,服务, Thermal Management daemon," thermald monitors and controls platform temperature.

Thermal issues are important to handle proactively to reduce performance
impact.  thermald uses the existing Linux kernel infrastructure and can
be easily enhanced."
colord,服务, Color daemon," colord is a low level system activated daemon that maps color devices
to color profiles in the system context."
sssd-common-pac,服务, Common files needed for supporting PAC processing," Provides common files needed by SSSD providers such as IPA and Active Directory
for handling Kerberos PACs."
fence-agents-mpath,服务, Fence agent for reservations over Device Mapper Multipath," Fence agent for SCSI persistent reservation over
Device Mapper Multipath."
lldpd,服务, ISC-licensed implementation of LLDP," LLDP is an industry standard protocol designed to supplant proprietary
Link-Layer protocols such as EDP or CDP. The goal of LLDP is to provide
an inter-vendor compatible mechanism to deliver Link-Layer notifications
to adjacent network devices."
quota-nld,服务,quota_nld daemon ,"Daemon that listens on netlink socket and processes received quota warnings.
Note, that you have to enable the kernel support for sending quota messages
over netlink (in Filesystems->Quota menu). The daemon supports forwarding
warning messages to the system D-Bus (so that desktop manager can display
a dialog) and writing them to the terminal user has last accessed. "
postgresql-server,服务, The programs needed to create and run a PostgreSQL server," PostgreSQL is an advanced Object-Relational database management system (DBMS).
The postgresql-server package contains the programs needed to create
and run a PostgreSQL server, which will in turn allow you to create
and maintain PostgreSQL databases."
timedatex,服务,D-Bus service for system clock and RTC settings ,"timedatex is a D-Bus service that implements the org.freedesktop.timedate1
interface. It can be used to read and set the system clock, the real-time clock
(RTC), the system timezone, and enable or disable an NTP client installed on
the system. It is a replacement for the systemd-timedated service. "
uuidd,服务,Helper daemon to guarantee uniqueness of time-based UUIDs ,"The uuidd package contains a userspace daemon (uuidd) which guarantees
uniqueness of time-based UUID generation even at very high rates on
SMP systems. "
bind-chroot,服务," A chroot runtime environment for the ISC BIND DNS server, named(8)"," This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
sassist,服务, Dell SupportAssist log collector, Dell SupportAssist log collector for Linux.
gnome-shell-extension-no-hot-corner,服务, Disable the hot corner in GNOME Shell, This GNOME Shell extension disables the hot corner in the top bar.
deepin-desktop-schemas,服务, GSettings deepin desktop-wide schemas," deepin-desktop-schemas contains a collection of GSettings schemas for
 settings shared by various components of a desktop."
target-restore,服务,Systemd service for targetcli/rtslib ,"Systemd service to restore the LIO kernel target settings
on system restart. "
amanda-server,服务, The server side of the AMANDA tape backup system," The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
pcp-pmda-mysql,服务, Performance Co-Pilot (PCP) metrics for MySQL," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the MySQL database."
realmd,服务,Kerberos realm enrollment service ,"realmd is a DBus system service which manages discovery and enrollment in realms
and domains like Active Directory or IPA. The control center uses realmd as the
back end to 'join' a domain simply and automatically configure things correctly. "
qemu-kvm-hw-usbredir,服务, QEMU usbredir support, This package provides usbredir support.
pcp-pmda-cisco,服务, Performance Co-Pilot (PCP) metrics for Cisco routers," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Cisco routers."
pcp-pmda-gpfs,服务, Performance Co-Pilot (PCP) metrics for GPFS Filesystem," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the GPFS filesystem."
gnome-shell-extension-gesture-inhibitor,服务, Gesture inhibitor, This GNOME Shell extension allows disabling the default desktop gestures.
bind-dyndb-ldap,服务, LDAP back-end plug-in for BIND," This package provides an LDAP back-end plug-in for BIND. It features
support for dynamic updates and internal caching, to lift the load
off of your LDAP server."
postfix,服务,Postfix Mail Transport Agent ,Postfix is a Mail Transport Agent (MTA). 
ipa-server,服务, The IPA authentication server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package."
pcp-pmda-openvswitch,服务, Performance Co-Pilot (PCP) metrics for Open vSwitch," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from Open vSwitch."
pcp-pmda-dbping,服务, Performance Co-Pilot (PCP) metrics for Database response times and Availablility," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Database response times and Availablility."
torque,服务, Tera-scale Open-source Resource and QUEue manager," TORQUE (Tera-scale Open-source Resource and QUEue manager) is a resource
manager providing control over batch jobs and distributed compute nodes.
TORQUE is based on OpenPBS version 2.3.12 and incorporates scalability,
fault tolerance, and feature extension patches provided by USC, NCSA, OSC,
the U.S. Dept of Energy, Sandia, PNNL, U of Buffalo, TeraGrid, and many
other leading edge HPC organizations.

This package holds just a few shared files and directories."
gnome-software,服务, A software center for GNOME," gnome-software is an application that makes it easy to add, remove
and update software in the GNOME desktop."
gvfs-goa,服务, GOA support for gvfs," This package provides seamless integration with gnome-online-accounts
file services."
stratisd-dracut,服务, Dracut modules for use with stratisd," 
This package contains dracut modules to be used with stratisd
to enable using Stratis filesystems as the root filesystem for
a Linux install."
gnome-shell,服务, Window management and application launching for GNOME," GNOME Shell provides core user interface functions for the GNOME 3 desktop,
like switching to windows and launching applications. GNOME Shell takes
advantage of the capabilities of modern graphics hardware and introduces
innovative user interface concepts to provide a visually attractive and
easy to use experience."
spice-streaming-agent,服务, SPICE streaming agent," An agent, running on a guest, sending video streams of the X display to a
remote client (over SPICE)."
tuned-profiles-atomic,服务,Additional tuned profile(s) targeted to Atomic ,Additional tuned profile(s) targeted to Atomic host and guest. 
gedit-plugin-translate,服务, gedit translate plugin, The gedit translate plugin.
fprintd-pam,服务, PAM module for fingerprint authentication," PAM module that uses the fprintd D-Bus service for fingerprint
authentication."
pcp-pmda-gpsd,服务, Performance Co-Pilot (PCP) metrics for a GPS Daemon," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about a GPS Daemon."
pcp-zeroconf,服务, Performance Co-Pilot (PCP) Zeroconf Package," This package contains configuration tweaks and files to increase metrics
gathering frequency, several extended pmlogger configurations, as well as
automated pmie diagnosis, alerting and self-healing for the localhost."
tang,服务, Network Presence Binding Daemon, Tang is a small daemon for binding data to the presence of a third party.
fence-agents-apc,服务, Fence agent for APC devices, Fence agent for APC devices that are accessed via telnet or SSH.
nginx-all-modules,服务, A meta package that installs all available Nginx modules, A meta package that installs all available Nginx modules.
flatpak-session-helper,服务, User D-Bus service used by flatpak and others," This package contains the org.freedesktop.Flatpak user D-Bus service
that's used by flatpak and other packages."
rsyslog-pgsql,服务, PostgresSQL support for rsyslog," The rsyslog-pgsql package contains a dynamic shared object that will add
PostgreSQL database support to rsyslog."
gdm,服务, The GNOME Display Manager," GDM, the GNOME Display Manager, handles authentication-related backend
functionality for logging in a user and unlocking the user's session after
it's been locked. GDM also provides functionality for initiating user-switching,
so more than one user can be logged in at the same time. It handles
graphical session registration with the system for both local and remote
sessions (in the latter case, via the XDMCP protocol).  In cases where the
session doesn't provide it's own display server, GDM can start the display
server on behalf of the session."
dde-session-shell,服务, deepin-session-shell - Deepin desktop-environment - session-shell module, deepin-session-shell - Deepin desktop-environment - session-shell module.
gedit-plugin-multiedit,服务, gedit multiedit plugin, The gedit multiedit plugin.
spice-vdagent-win-x64,服务, Spice agent MSI installers for Windows guests (64 bit), Spice agent MSI installers for Windows guests (64 bit)
readonly-root,服务,Service for configuring read-only root support ,"This package provides script & configuration file for setting up read-only root
support. Additional configuration is required after installation. "
pcp-export-pcp2influxdb,服务, Performance Co-Pilot tools for exporting PCP metrics to InfluxDB," Performance Co-Pilot (PCP) front-end tools for exporting metric values
to InfluxDB (https://influxdata.com/time-series-platform/influxdb)."
dde-dock-onboard-plugin,服务, deepin desktop-environment - dock plugin, deepin desktop-environment - dock plugin.
ModemManager,服务, Mobile broadband modem management service," The ModemManager service manages WWAN modems and provides a consistent API for
interacting with these devices to client applications."
abrt-desktop,服务, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment."
accountsservice,服务, D-Bus interfaces for querying and manipulating user account information," The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands."
ctdb,服务,A Clustered Database based on Samba's Trivial Database (TDB) ,"CTDB is a cluster implementation of the TDB database used by Samba and other
projects to store temporary data. If an application is already using TDB for
temporary data it is very easy to convert that application to be cluster aware
and use CTDB instead. "
ipa-server-dns,服务, IPA integrated DNS server with support for automatic DNSSEC signing," IPA integrated DNS server with support for automatic DNSSEC signing.
Integrated DNS server is BIND 9. OpenDNSSEC provides key management."
cronie,服务, Cron daemon for executing programs at set times," Cronie contains the standard UNIX daemon crond that runs specified programs at
scheduled times and related tools. It is a fork of the original vixie-cron and
has security and configuration enhancements like the ability to use pam and
SELinux."
cachefilesd,服务,CacheFiles user-space management daemon ,"The cachefilesd daemon manages the caching files and directory that are that
are used by network file systems such a AFS and NFS to do persistent caching to
the local disk. "
libvirt-daemon-driver-secret,服务, Secret driver plugin for the libvirtd daemon," The secret driver plugin for the libvirtd daemon, providing
an implementation of the secret key APIs."
deepin-pw-check,服务, Used to check password and manager the configuration for password.," In order to unify the authentication interface,
this interface is designed to adapt to fingerprint, face and other authentication methods."
pcp-pmda-bcc,服务, Performance Co-Pilot (PCP) metrics from eBPF/BCC modules," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
extracting performance metrics from eBPF/BCC Python modules."
pcp-pmda-infiniband,服务, Performance Co-Pilot (PCP) metrics for Infiniband HCAs and switches," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting Infiniband statistics.  By default, it monitors the local HCAs
but can also be configured to monitor remote GUIDs such as IB switches."
brltty-docs,服务, Documentation for BRLTTY, This package provides the documentation for BRLTTY.
kwin-common,服务, Common files for KWin X11 and KWin Wayland, Common files for KWin X11 and KWin Wayland.
nginx-mod-mail,服务, Nginx mail modules, Nginx mail modules.
pki-kra,服务, PKI KRA Package," The Key Recovery Authority (KRA) is an optional PKI subsystem that can act
as a key archival facility.  When configured in conjunction with the
Certificate Authority (CA), the KRA stores private encryption keys as part of
the certificate enrollment process.  The key archival mechanism is triggered
when a user enrolls in the PKI and creates the certificate request.  Using the
Certificate Request Message Format (CRMF) request format, a request is
generated for the user's private encryption key.  This key is then stored in
the KRA which is configured to store keys in an encrypted format that can only
be decrypted by several agents requesting the key at one time, providing for
protection of the public encryption keys for the users in the PKI deployment.

Note that the KRA archives encryption keys; it does NOT archive signing keys,
since such archival would undermine non-repudiation properties of signing keys."
pcp-pmda-lustre,服务, Performance Co-Pilot (PCP) metrics for the Lustre Filesytem," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Lustre Filesystem."
booth,服务, Ticket Manager for Multi-site Clusters," Booth manages tickets which authorize cluster sites located
in geographically dispersed locations to run resources.
It facilitates support of geographically distributed
clustering in Pacemaker."
brltty,服务, Braille display driver for Linux/Unix," BRLTTY is a background process (daemon) which provides
access to the Linux/Unix console (when in text mode)
for a blind person using a refreshable braille display.
It drives the braille display and provides complete
screen review functionality."
ipset-service,服务,ipset service for ipsets ,"This package provides the service ipset that is split
out of the base package since it is not active by default. "
deepin-network-proxy,服务, Most simple RPM package," This is my first RPM package, which does nothing."
gnome-remote-desktop,服务, GNOME Remote Desktop screen share service," GNOME Remote Desktop is a remote desktop and screen sharing service for the
GNOME desktop environment."
sssd-ipa,服务, The IPA back end of the SSSD," Provides the IPA back end that the SSSD can utilize to fetch identity data
from and authenticate against an IPA server."
git-daemon,服务, Git protocol daemon, The git daemon for supporting git:// access to git repositories
alsa-plugins-maemo,服务, Maemo plugin for ALSA," This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes."
pcp-import-sar2pcp,服务, Performance Co-Pilot tools for importing sar data into PCP archive logs," Performance Co-Pilot (PCP) front-end tools for importing sar data
into standard PCP archive logs for replay with any PCP monitoring tool."
gvfs-gphoto2,服务, gphoto2 support for gvfs," This package provides support for reading and writing files on
PTP based cameras (Picture Transfer Protocol) and MTP based
media players (Media Transfer Protocol) to applications using gvfs."
deepin-calculator,服务, An easy to use calculator for ordinary users, An easy to use calculator for ordinary users.
sanlock,服务, A shared storage lock manager, The sanlock daemon manages leases for applications on hosts using shared storage.
rpcbind,服务, Universal Addresses to RPC Program Number Mapper," The rpcbind utility is a server that converts RPC program numbers into
universal addresses.  It must be running on the host to be able to make
RPC calls on a server on that machine."
xorg-x11-server-Xwayland,服务, Xwayland, Xwayland is an X server for running X clients under Wayland.
libvirt-daemon-driver-storage-iscsi-direct,服务, Storage driver plugin for iscsi-direct," The storage driver backend adding implementation of the storage APIs for iscsi
volumes using libiscsi direct connection."
mariadb-server,服务, The MariaDB server and related files," MariaDB is a multi-user, multi-threaded SQL database server. It is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MariaDB server and some accompanying files and directories.
MariaDB is a community developed branch of MySQL."
xorg-x11-server-source,服务, Xserver source code required to build VNC server (Xvnc), Xserver source code needed to build VNC server (Xvnc)
gnome-photos,服务," Access, organize and share your photos on GNOME"," A simple application to access, organize and share your photos on
GNOME. It is meant to be a simple and elegant replacement for using a
file manager to deal with photos. Seamless cloud integration is offered
through GNOME Online Accounts."
sssd,服务,System Security Services Daemon ,"Provides a set of daemons to manage access to remote directories and
authentication mechanisms. It provides an NSS and PAM interface toward
the system and a plug-gable back-end system to connect to multiple different
account sources. It is also the basis to provide client auditing and policy
services for projects like FreeIPA.

The sssd sub-package is a meta-package that contains the daemon as well as all
the existing back ends. "
fence-agents-kdump,服务, Fence agent for use with kdump crash recovery service, Fence agent for use with kdump crash recovery service.
sanlk-reset,服务, Host reset daemon and client using sanlock," The sanlk-reset package contains the reset daemon and client.
A cooperating host running the daemon can be reset by a host
running the client, so long as both maintain access to a
common sanlock lockspace."
alsa-plugins-arcamav,服务, Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device."
pcp-pmda-lustrecomm,服务, Performance Co-Pilot (PCP) metrics for the Lustre Filesytem Comms," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Lustre Filesystem Comms."
pcp-pmda-netfilter,服务, Performance Co-Pilot (PCP) metrics for Netfilter framework," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Netfilter packet filtering framework."
NetworkManager-libreswan,服务, NetworkManager VPN plug-in for IPsec VPN," This package contains software for integrating the libreswan VPN software
with NetworkManager and the GNOME desktop"
ipxe-roms,服务, Network boot loader roms in .rom format," iPXE is an open source network bootloader. It provides a direct
replacement for proprietary PXE ROMs, with many extra features such as
DNS, HTTP, iSCSI, etc.

This package contains the iPXE roms in .rom format."
systemd,服务, System and Service Manager," systemd is a system and service manager that runs as PID 1 and starts
the rest of the system. It provides aggressive parallelization
capabilities, uses socket and D-Bus activation for starting services,
offers on-demand starting of daemons, keeps track of processes using
Linux control groups, maintains mount and automount points, and
implements an elaborate transactional dependency-based service control
logic. systemd supports SysV and LSB init scripts and works as a
replacement for sysvinit. Other parts of this package are a logging daemon,
utilities to control basic system configuration like the hostname,
date, locale, maintain a list of logged-in users, system accounts,
runtime directories and settings, and daemons to manage simple network
configuration, network time synchronization, log forwarding, and name
resolution."
plymouth-theme-spinfinity,服务," Plymouth ""Spinfinity"" theme"," This package contains the ""Spinfinity"" boot splash theme for
Plymouth. It features a centered logo and animated spinner that
spins in the shape of an infinity sign."
opensm,服务,OpenIB InfiniBand Subnet Manager and management utilities ,"OpenSM is the OpenIB project's Subnet Manager for Infiniband networks.
The subnet manager is run as a system daemon on one of the machines in
the infiniband fabric to manage the fabric's routing state.  This package
also contains various tools for diagnosing and testing Infiniband networks
that can be used from any machine and do not need to be run on a machine
running the opensm daemon. "
gnome-shell-extension-disable-screenshield,服务, Disable GNOME Shell screen shield if lock is disabled, This GNOME Shell extension disabled the screen shield if screen locking is disabled.
bind-pkcs11,服务, Bind with native PKCS#11 functionality for crypto," This is a version of BIND server built with native PKCS#11 functionality.
It is important to have SoftHSM v2+ installed and some token initialized.
For other supported HSM modules please check the BIND documentation."
epel-aliyuncs-next-release,服务, Extra Packages for Enterprise Linux Next repository configuration," This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum."
xdg-desktop-portal-gtk,服务, Backend implementation for xdg-desktop-portal using GTK+," A backend implementation for xdg-desktop-portal that is using GTK+ and various
pieces of GNOME infrastructure, such as the org.gnome.Shell.Screenshot or
org.gnome.SessionManager D-Bus interfaces."
libvirt-daemon-driver-storage-core,服务, Storage driver plugin including base backends for the libvirtd daemon," The storage driver plugin for the libvirtd daemon, providing
an implementation of the storage APIs using files, local disks, LVM, SCSI,
iSCSI, and multipath storage."
iscsi-initiator-utils,服务, iSCSI daemon and utility programs," The iscsi package provides the server daemon for the iSCSI protocol,
as well as the utility programs used to manage it. iSCSI is a protocol
for distributed disk access using SCSI commands sent over Internet
Protocol networks."
alsa-plugins-vdownmix,服务, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
exchange-bmc-os-info,服务, Let OS and BMC exchange info," Given a host with BMC, this package would pass the hostname &
OS information to the BMC and also capture the BMC ip info
for the host OS to use."
varnish,服务, High-performance HTTP accelerator," This is Varnish Cache, a high-performance HTTP accelerator.

Varnish Cache stores web pages in memory so web servers don__ have to
create the same web page over and over again. Varnish Cache serves
pages much faster than any application server; giving the website a
significant speed up.

Documentation wiki and additional information about Varnish Cache is
available on: https://www.varnish-cache.org/"
pcp-pmda-bpftrace,服务, Performance Co-Pilot (PCP) metrics from bpftrace scripts," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
extracting performance metrics from bpftrace scripts."
bluez-obexd,服务,Object Exchange daemon for sharing content ,"Object Exchange daemon for sharing files, contacts etc over bluetooth "
gnome-shell-extension-places-menu,服务, Places status menu for GNOME Shell," This GNOME Shell extension add a system status menu for quickly navigating
places in the system."
nscd,服务,A Name Service Caching Daemon (nscd). ,"The nscd daemon caches name service lookups and can improve
performance with LDAP, and may help with DNS as well. "
selinux-policy,服务, SELinux policy configuration," SELinux Base package for SELinux Reference Policy - modular.
Based off of reference policy: Checked out revision  2.20091117"
systemtap-exporter,服务, Systemtap-prometheus interoperation mechanism," This package includes files for a systemd service that manages
systemtap sessions and relays prometheus metrics from the sessions
to remote requesters on demand."
gnome-getting-started-docs-pl,服务, Polish translations for gnome-getting-started-docs videos, Polish (pl) translations for the Getting Started guide videos.
rpm-ostree,服务, Hybrid image/package system," rpm-ostree is a hybrid image/package system.  It supports
""composing"" packages on a build server into an OSTree repository,
which can then be replicated by client systems with atomic upgrades.
Additionally, unlike many ""pure"" image systems, with rpm-ostree
each client system can layer on additional packages, providing
a ""best of both worlds"" approach."
pcp-pmda-ds389log,服务, Performance Co-Pilot (PCP) metrics for 389 Directory Server Loggers," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from a 389 Directory Server log."
pcp-pmda-mic,服务, Performance Co-Pilot (PCP) metrics for Intel MIC cards," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Intel MIC cards."
dnf-automatic,服务,Package manager - automated upgrades ,Systemd units that can periodically download package upgrades and apply them. 
NetworkManager-cloud-setup,服务, Automatically configure NetworkManager in cloud," Installs a nm-cloud-setup tool that can automatically configure
NetworkManager in cloud setups. Currently only EC2 is supported.
This tool is still experimental."
tpm2-abrmd,服务,A system daemon implementing TPM2 Access Broker and Resource Manager ,"tpm2-abrmd is a system daemon implementing the TPM2 access broker (TAB) and
Resource Manager (RM) spec from the TCG. "
gnome-shell-extension-user-theme,服务, Support for custom themes in GNOME Shell," This GNOME Shell extension enables loading a GNOME Shell theme from
~/.themes/<name>/gnome-shell/."
sbd,服务, Storage-based death," 
This package contains the storage-based death functionality.

Available rpmbuild rebuild options:
  --with(out) : sync_resource_startup_default"
fwupd,服务,Firmware update daemon ,fwupd is a daemon to allow session software to update device firmware. 
deepin-icon-theme,服务, Icons for the Deepin Desktop Environment, Icons for the Deepin Desktop Environment.
pcp-pmda-libvirt,服务, Performance Co-Pilot (PCP) metrics from virtual machines," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
extracting virtualisation statistics from libvirt about behaviour of guest
and hypervisor machines."
pcp-pmda-denki,服务, Performance Co-Pilot (PCP) metrics dealing with electrical power," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics related to the electrical power consumed by and inside
the system."
lightdm,服务, A cross-desktop Display Manager," Lightdm is a display manager that:
* Is cross-desktop - supports different desktops
* Supports different display technologies
* Is lightweight - low memory usage and fast performance"
gnome-shell-extension-dash-to-dock,服务, Show the dash outside the activities overview, This GNOME Shell extension makes the dash available outside the activities overview.
freeradius-unixODBC,服务, Unix ODBC support for freeradius, This plugin provides the unixODBC support for the FreeRADIUS server project.
web-assets-filesystem,服务, The basic directory layout for Web Assets, The basic directory layout for Web Assets.
polkit,服务, An authorization framework," polkit is a toolkit for defining and handling authorizations.  It is
used for allowing unprivileged processes to speak to privileged
processes."
qemu-kvm-common,服务, QEMU common files needed by all QEMU targets," qemu-kvm is an open source virtualizer that provides hardware emulation for
the KVM hypervisor.

This package provides documentation and auxiliary programs used with qemu-kvm."
gedit-plugin-joinlines,服务, gedit joinlines plugin, The gedit joinlines plugin.
fence-agents-heuristics-ping,服务, Pseudo fence agent to affect other agents based on ping-heuristics," Fence pseudo agent used to affect other agents based on
ping-heuristics."
flatpak-selinux,服务, SELinux policy module for flatpak, This package contains the SELinux policy module for flatpak.
deepin-anything-server,服务," Something like everything, but nothing is really like anything...", 
xorg-x11-drv-v4l,服务, Xorg X11 v4l video driver, X.Org X11 v4l video driver.
xorg-x11-drv-wacom-serial-support,服务, Files for enabling the wacom_w8001 kernel driver," Files for enabling the wacom_w8001 kernel driver on Wacom
ISDv4-compatible serial tablets. If enabled, the serial tablet's device node
will be available as normal evdev node."
switcheroo-control,服务, D-Bus service to check the availability of dual-GPU, D-Bus service to check the availability of dual-GPU.
fprintd,服务, D-Bus service for Fingerprint reader access, D-Bus service to access fingerprint readers.
samba-winbind,服务, Samba winbind," The samba-winbind package provides the winbind NSS library, and some client
tools.  Winbind enables Linux to be a full member in Windows domains and to use
Windows user and group accounts on Linux."
nghttp2,服务," Experimental HTTP/2 client, server and proxy"," This package contains the HTTP/2 client, server and proxy programs."
freeradius-rest,服务, REST support for freeradius, This plugin provides the REST support for the FreeRADIUS server project.
deepin-system-monitor,服务, A more user-friendly system monitor, A more user-friendly system monitor.
rsyslog-elasticsearch,服务, ElasticSearch output module for rsyslog," This module provides the capability for rsyslog to feed logs directly into
Elasticsearch."
