name,label,bert_graph_pred,summary,description
xdg-desktop-portal-gtk,服务,工具, Backend implementation for xdg-desktop-portal using GTK+," A backend implementation for xdg-desktop-portal that is using GTK+ and various
pieces of GNOME infrastructure, such as the org.gnome.Shell.Screenshot or
org.gnome.SessionManager D-Bus interfaces."
xmltoman,工具,库, Scripts for converting XML to roff or HTML," This package provides xmltoman and xmlmantohtml scripts, to compile
the xml representation of manual page to either roff source, or HTML
(while providing the CSS stylesheet for eye-candy look). XSL stylesheet
for doing rougly the same job is provided."
dconf,工具,服务, A configuration system," dconf is a low-level configuration system. Its main purpose is to provide a
backend to the GSettings API in GLib."
pidgin-sipe,工具,库, Pidgin protocol plugin to connect to MS Office Communicator," A third-party plugin for the Pidgin multi-protocol instant messenger.
It implements the extended version of SIP/SIMPLE used by various products:

    * Skype for Business
    * Microsoft Office 365
    * Microsoft Business Productivity Online Suite (BPOS)
    * Microsoft Lync Server
    * Microsoft Office Communications Server (OCS 2007/2007 R2)
    * Microsoft Live Communications Server (LCS 2003/2005)

With this plugin you should be able to replace your Microsoft Office
Communicator client with Pidgin.

This package provides the icon set for Pidgin."
gnome-font-viewer,工具,库, Utility for previewing fonts for GNOME," Use gnome-font-viewer, the Font Viewer, to preview fonts and display
information about a specified font. You can use the Font Viewer to display the
name, style, type, size, version and copyright of the font."
mecab-ipadic,工具,服务, IPA dictionary for MeCab," MeCab IPA is a dictionary for MeCab using CRF estimation
based on IPA corpus.
This dictionary is for UTF-8 use."
kernel-abi-stablelists,其它,库,The Red Hat Enterprise Linux kernel ABI symbol stablelists ,"The kABI package contains information pertaining to the Red Hat Enterprise
Linux kernel ABI, including lists of kernel symbols that are needed by
external Linux kernel modules, and a yum plugin to aid enforcement. "
kubernetes-kubeadm,工具,服务, Kubernetes tool for standing up clusters, Kubernetes tool for standing up clusters
pcp-import-ganglia2pcp,工具,库, Performance Co-Pilot tools for importing ganglia data into PCP archive logs," Performance Co-Pilot (PCP) front-end tools for importing ganglia data
into standard PCP archive logs for replay with any PCP monitoring tool."
php-pecl-zip,库,工具, A ZIP archive management extension, Zip is an extension to create and read zip files.
c2esp,服务,工具, CUPS driver for Kodak AiO printers, CUPS filters and drivers for Kodak ESP and Hero all in one printers.
p11-kit-server,服务,库,Server and client commands for p11-kit ,"The p11-kit-server package contains command line tools that enable to
export PKCS#11 modules through a Unix domain socket.  Note that this
feature is still experimental. "
libspectre,库,工具, A library for rendering PostScript(TM) documents," libspectre is a small library for rendering PostScript(TM) documents.
It provides a convenient easy to use API for handling and rendering
PostScript documents."
java-11-alibaba-dragonwell-src,库,工具, Alibaba Dragonwell11 src, Alibaba Dragonwell11 src
lvm2-lockd,服务,库,LVM locking daemon ,"
LVM commands use lvmlockd to coordinate access to shared storage. "
texlive-eurosym,工具,库, MetaFont and macros for Euro sign," The new European currency symbol for the Euro implemented in
MetaFont, using the official European Commission dimensions,
and providing several shapes (normal, slanted, bold, outline).
The package also includes a LaTeX package which defines the
macro, pre-compiled tfm files, and documentation."
llvm-toolset,工具,服务, Package that installs llvm-toolset, This is the main package for llvm-toolset.
tree,工具,库,File system tree viewer ,"The tree utility recursively displays the contents of directories in a
tree-like format.  Tree is basically a UNIX port of the DOS tree
utility. "
sos-audit,工具,服务,Audit use of some commands for support purposes ,"
Sos-audit provides configuration files for the Linux Auditing System
to track the use of some commands capable of changing the configuration
of the system. Currently storage and filesystem commands are audited. "
jmc-core,库,工具, Core API for JDK Mission Control," JDK Mission Control is an advanced set of tools that enables efficient and
detailed analysis of the extensive data collected by Flight Recorder. The
tool chain enables developers and administrators to collect and analyze data
from Java applications running locally or deployed in production environments."
libproxy,库,工具, A library handling all the details of proxy configuration," libproxy offers the following features:

    * extremely small core footprint (< 35K)
    * no external dependencies within libproxy core
      (libproxy plugins may have dependencies)
    * only 3 functions in the stable external API
    * dynamic adjustment to changing network topology
    * a standard way of dealing with proxy settings across all scenarios
    * a sublime sense of joy and accomplishment"
vulkan-loader,服务,库, Vulkan ICD desktop loader," This project provides the Khronos official Vulkan ICD desktop
loader for Windows, Linux, and MacOS."
gcc-toolset-11-elfutils-libs,库,工具, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries."
texlive-fncychap,库,工具, Seven predefined chapter heading styles," Each style can be modified using a set of simple commands.
Optionally one can modify the formatting routines in order to
create additional chapter headings. This package was previously
known as FancyChapter."
usbguard,服务,工具, A tool for implementing USB device usage policy," The USBGuard software framework helps to protect your computer against rogue USB
devices by implementing basic whitelisting/blacklisting capabilities based on
USB device attributes."
bluez,工具,服务, Bluetooth utilities," Utilities for use in Bluetooth applications:
	- hcitool
	- hciattach
	- hciconfig
	- bluetoothd
	- l2ping
	- rfcomm
	- sdptool
	- bluetoothctl
	- btmon
	- hcidump
	- l2test
	- rctest
	- gatttool
	- start scripts (Red Hat)
	- pcmcia configuration files

The BLUETOOTH trademarks are owned by Bluetooth SIG, Inc., U.S.A."
texlive-norasi-c90,库,工具, TeX support (from CJK) for the norasi font in thailatex, norasi-c90 package
clippy,工具,库, Lints to catch common mistakes and improve your Rust code, A collection of lints to catch common mistakes and improve your Rust code.
clevis-udisks2,工具,库, UDisks2/Storaged integration for clevis," Automatically unlocks LUKS block devices in desktop environments that
use UDisks2 or storaged (like GNOME)."
texlive-mathpazo,库,工具, Fonts to typeset mathematics to match Palatino," The Pazo Math fonts are a family of PostScript fonts suitable
for typesetting mathematics in combination with the Palatino
family of text fonts. The Pazo Math family is made up of five
fonts provided in Adobe Type 1 format (PazoMath, PazoMath-
Italic, PazoMath-Bold, PazoMath-BoldItalic, and
PazoMathBlackboardBold). These contain, in designs that match
Palatino, glyphs that are usually not available in Palatino and
for which Computer Modern looks odd when combined with
Palatino. These glyphs include the uppercase Greek alphabet in
upright and slanted shapes in regular and bold weights, the
lowercase Greek alphabet in slanted shape in regular and bold
weights, several mathematical glyphs (partialdiff, summation,
product, coproduct, emptyset, infinity, and proportional) in
regular and bold weights, other glyphs (Euro and dotlessj) in
upright and slanted shapes in regular and bold weights, and the
uppercase letters commonly used to represent various number
sets (C, I, N, Q, R, and Z) in blackboard bold. The set also
includes a set of 'true' small-caps fonts, also suitable for
use with Palatino (or one of its clones). LaTeX macro support
(using package mathpazo.sty) is provided in psnfss (a required
part of any LaTeX distribution)."
mrtg,工具,库, Multi Router Traffic Grapher," The Multi Router Traffic Grapher (MRTG) is a tool to monitor the traffic
load on network-links. MRTG generates HTML pages containing PNG
images which provide a LIVE visual representation of this traffic."
python3-prettytable,库,工具, Python library to display tabular data in tables," PrettyTable is a simple Python library designed to make it quick and easy to
represent tabular data in visually appealing ASCII tables. It was inspired by
the ASCII tables used in the PostgreSQL shell psql. PrettyTable allows for
selection of which columns are to be printed, independent alignment of columns
(left or right justified or centred) and printing of ""sub-tables"" by specifying
a row range."
systemtap-exporter,服务,工具, Systemtap-prometheus interoperation mechanism," This package includes files for a systemd service that manages
systemtap sessions and relays prometheus metrics from the sessions
to remote requesters on demand."
cri-tools,工具,库, CLI and validation tools for Container Runtime Interface, CLI and validation tools for Container Runtime Interface
bind-libs,库,服务, Libraries used by the BIND DNS packages," Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind-utils package."
pipewire-utils,工具,库, PipeWire media server utilities, This package contains command line utilities for the PipeWire media server.
tpm-tools-pkcs11,工具,库,Management tools using PKCS#11 for the TPM hardware ,"tpm-tools-pkcs11 is a group of tools that use the TPM PKCS#11 token. All data
contained in the PKCS#11 data store is protected by the TPM (keys,
certificates, etc.). You can import keys and certificates, list out the
objects in the data store, and protect data. "
teamd,服务,库, Team network device control daemon, The teamd package contains team network device control daemon.
nasm,工具,库, A portable x86 assembler which uses Intel-like syntax," NASM is the Netwide Assembler, a free portable assembler for the Intel
80x86 microprocessor series, using primarily the traditional Intel
instruction mnemonics and syntax."
kyotocabinet-libs,库,工具, Libraries for applications using Kyoto Cabinet," The kyotocabinet-libs package provides the essential shared libraries
for any Kyoto Cabinet client program or interface."
ibus-table-chinese-stroke5,工具,库, Stroke 5 input method, Erbi input method.
network-scripts,服务,工具, Legacy scripts for manipulating of network devices," This package contains the legacy scripts for activating & deactivating of most
network interfaces. It also provides a legacy version of 'network' service.

The 'network' service is enabled by default after installation of this package,
and if the network-scripts are installed alongside NetworkManager, then the
ifup/ifdown commands from network-scripts take precedence over the ones provided
by NetworkManager.

If user has both network-scripts & NetworkManager installed, and wishes to
use ifup/ifdown from NetworkManager primarily, then they has to run command:
 $ update-alternatives --config ifup

Please note that running the command above will also disable the 'network'
service."
openwsman-server,服务,库, Openwsman Server and service libraries, Openwsman Server and service libraries.
spec-version-maven-plugin,库,工具, Spec Version Maven Plugin," Maven Plugin to configure APIs version and
specs in a MANIFEST.MF file."
java-11-alibaba-dragonwell-src-fastdebug,库,工具, Alibaba Dragonwell11 Runtime Environment src fastdebug, Alibaba Dragonwell11 Runtime Environment src fastdebug
qt5-doctools,工具,库, Qt5 doc tools package, Qt5 doc tools package.
krb5-libs,库,工具, The non-admin shared libraries used by Kerberos 5," Kerberos is a network authentication system. The krb5-libs package
contains the shared libraries needed by Kerberos 5. If you are using
Kerberos, you need to install this package."
hawtjni,库,工具, Code generator that produces the JNI code," HawtJNI is a code generator that produces the JNI code needed to
implement java native methods. It is based on the jnigen code generator
that is part of the SWT Tools project which is used to generate all the
JNI code which powers the eclipse platform."
pipewire0.2-libs,库,服务, Compatibility Libraries for PipeWire clients," This package contains the runtime libraries for any application that wishes
to interface with a PipeWire media server."
totem,工具,库, Movie player for GNOME," Totem is simple movie player for the GNOME desktop. It features a
simple playlist, a full-screen mode, seek and volume controls, as well as
a pretty complete keyboard navigation.

Totem is extensible through a plugin system."
ansible-core,工具,库," SSH-based configuration management, deployment, and task execution system"," Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically."
cgdcbxd,服务,工具, DCB network priority management daemon," This is a daemon to manage the priority of network traffic in dcb enabled
environments.  By using the information exchanged over the dcbx protocol on a
LAN, this package will enforce network priority on running applications on your
host using the net_prio cgroup"
fence-agents-common,服务,库, Common base for Fence Agents," A collection of executables to handle isolation (""fencing"") of possibly
misbehaving hosts by the means of remote power management, blocking
network, storage, or similar.

This package contains support files including the Python fencing library."
libkcapi,库,服务, User space interface to the Linux Kernel Crypto API," libkcapi allows user-space to access the Linux kernel crypto API.

This library uses the netlink interface and exports easy to use APIs
so that a developer does not need to consider the low-level netlink
interface handling.

The library does not implement any cipher algorithms.  All consumer
requests are sent to the kernel for processing.  Results from the
kernel crypto API are returned to the consumer via the library API.

The kernel interface and therefore this library can be used by
unprivileged processes."
postfix-pgsql,库,工具, Postfix PostgreSQL map support," This provides support for PostgreSQL  maps in Postfix. If you plan to use
PostgreSQL maps with Postfix, you need this."
qt-settings,库,服务, Configuration files for Qt, Configuration files for Qt.
python3-docutils,库,服务, System for processing plaintext documentation for python3," The Docutils project specifies a plaintext markup language, reStructuredText,
which is easy to read and quick to write.  The project includes a python
library to parse rST files and transform them into other useful formats such
as HTML, XML, and TeX as well as commandline tools that give the enduser
access to this functionality.

Currently, the library supports parsing rST that is in standalone files and
PEPs (Python Enhancement Proposals).  Work is underway to parse rST from
Python inline documentation modules and packages.

This package contains the module, ported to run under python3."
abrt-dbus,服务,工具, ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
intel-gpu-tools,工具,服务, Debugging tools for Intel graphics chips, Debugging tools for Intel graphics chips
gnome-keyring-pam,工具,服务, Pam module for unlocking keyrings," The gnome-keyring-pam package contains a pam module that can
automatically unlock the ""login"" keyring when the user logs in."
texlive-luatexbase,库,工具, Basic resource management for LuaTeX code," The bundle provides basic facilities for LuaTeX macro
programmers, mostly resource allocation and convenience
packages. Provided are: luatexbase-attr: attribute allocation;
luatexbase-cctb: catcode table allocation; luatexbase-compat:
compatibility helpers; luatexbase-loader: Lua module loading;
luatexbase-modutils: Lua module declaration; luatexbase-mcb:
callbacks extension; and luatexbase-regs: allocation of
registers and the like. In addition, the (unadorned) luatexbase
package loads all the above in one fell swoop."
munge-maven-plugin,库,工具, Munge Maven Plugin," Munge is a purposely-simple Java preprocessor. It only supports
conditional inclusion of source based on defined strings of the
form ""if[tag]"", ""if_not[tag]"", ""else[tag]"", and ""end[tag]"".
Unlike traditional preprocessors, comments, and formatting are all
preserved for the included lines. This is on purpose, as the output
of Munge will be distributed as human-readable source code.

To avoid creating a separate Java dialect, the conditional tags are
contained in Java comments. This allows one build to compile the
source files without pre-processing, to facilitate faster incremental
development. Other builds from the same source have their code contained
within that comment. The format of the tags is a little verbose, so
that the tags won't accidentally be used by other comment readers
such as javadoc. Munge tags must be in C-style comments;
C++-style comments may be used to comment code within a comment.

Like any preprocessor, developers must be careful not to abuse its
capabilities so that their code becomes unreadable. Please use it
as little as possible."
irqbalance,服务,库,IRQ balancing daemon ,"irqbalance is a daemon that evenly distributes IRQ load across
multiple CPUs for enhanced performance. "
python3-botocore,库,服务," Low-level, data-driven core of boto 3"," A low-level interface to a growing number of Amazon Web Services. The
botocore package is the foundation for the AWS CLI as well as boto3."
pmempool,工具,库, Utilities for Persistent Memory," The pmempool is a standalone utility for management and off-line analysis
of Persistent Memory pools created by PMDK libraries. It provides a set
of utilities for administration and diagnostics of Persistent Memory pools.
The pmempool may be useful for troubleshooting by system administrators
and users of the applications based on PMDK libraries."
polkit-docs,库,服务,Development documentation for polkit ,Development documentation for polkit. 
rsyslog-gnutls,库,工具, TLS protocol support for rsyslog via GnuTLS library," The rsyslog-gnutls package contains the rsyslog plugins that provide the
ability to send and receive syslog messages via TCP or RELP using TLS
encryption via GnuTLS library. For details refer to rsyslog doc on imtcp
and omfwd modules."
efi-filesystem,工具,服务,The basic directory layout for EFI machines ,"The efi-filesystem package contains the basic directory layout for EFI
machine bootloaders and tools. "
oceanbase-ce,服务,库, OceanBase CE is a distributed relational database, OceanBase CE is a distributed relational database
scrub,工具,库, Disk scrubbing program," Scrub writes patterns on files or disk devices to make
retrieving the data more difficult.  It operates in one of three
modes: 1) the special file corresponding to an entire disk is scrubbed
and all data on it is destroyed;  2) a regular file is scrubbed and
only the data in the file (and optionally its name in the directory
entry) is destroyed; or 3) a regular file is created, expanded until
the file system is full, then scrubbed as in 2)."
bind-libs-lite,库,服务, Libraries for working with the DNS protocol," Contains lite version of BIND suite libraries which are used by various
programs to work with DNS protocol."
kf5-kio-widgets-libs,库,工具, Runtime libraries for KIO Widgets library, Runtime libraries for KIO Widgets library.
python3-uritemplate,库,工具, Simple python library to deal with URI Templates (RFC 6570)," Simple python library to deal with URI Templates (RFC 6570).

Python 3 version."
vhostmd,服务,库, Virtualization host metrics daemon," vhostmd provides a ""metrics communication channel"" between a host and
its hosted virtual machines, allowing limited introspection of host
resource usage from within virtual machines."
cups-client,工具,库, CUPS printing system - client programs," CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This package contains command-line client
programs."
plexus-build-api,库,工具, Plexus Build API, Plexus Build API
ibus-libpinyin,工具,库, Intelligent Pinyin engine based on libpinyin for IBus," It includes a Chinese Pinyin input method and a Chinese ZhuYin (Bopomofo)
input method based on libpinyin for IBus."
qrencode,工具,库, Generate QR 2D barcodes," Qrencode is a utility software using libqrencode to encode string data in
a QR Code and save as a PNG image."
jmc,工具,库, JDK Mission Control is a profiling and diagnostics tool," JDK Mission Control is a powerful profiler for HotSpot JVMs and has an
advanced set of tools that enables efficient and detailed analysis of the
extensive data collected by JDK Flight Recorder. The tool chain enables
developers and administrators to collect and analyze data from Java
applications running locally or deployed in production environments."
glx-utils,工具,库, GLX utilities, The glx-utils package provides the glxinfo and glxgears utilities.
dtkwidget,工具,服务, Deepin tool kit widget modules, DtkWidget is Deepin graphical user interface for deepin desktop development.
libvirt-libs,库,服务, Client side libraries, Shared libraries for accessing the libvirt daemon.
maven-hawtjni-plugin,库,工具, Use HawtJNI from a maven plugin, This package allows to use HawtJNI from a maven plugin.
libmemcached,工具,服务, Client library and command line tools for memcached server," libmemcached is a C/C++ client library and tools for the memcached server
(http://memcached.org/). It has been designed to be light on memory
usage, and provide full access to server side methods.

It also implements several command line tools:

memaslap    Load testing and benchmarking a server
memcapable  Checking a Memcached server capibilities and compatibility
memcat      Copy the value of a key to standard output
memcp       Copy data to a server
memdump     Dumping your server
memerror    Translate an error code to a string
memexist    Check for the existance of a key
memflush    Flush the contents of your servers
memparse    Parse an option string
memping     Test to see if a server is available.
memrm       Remove a key(s) from the server
memslap     Generate testing loads on a memcached cluster
memstat     Dump the stats of your servers to standard output
memtouch    Touches a key"
shadow-utils-subid,库,工具,A library to manage subordinate uid and gid ranges ,Utility library that provides a way to manage subid ranges. 
ctdb,服务,工具,A Clustered Database based on Samba's Trivial Database (TDB) ,"CTDB is a cluster implementation of the TDB database used by Samba and other
projects to store temporary data. If an application is already using TDB for
temporary data it is very easy to convert that application to be cluster aware
and use CTDB instead. "
texlive-fontwrap,库,工具, Bind fonts to specific unicode blocks," The package (which runs under XeLaTeX) lets you bind fonts to
specific unicode blocks, for automatic font tagging of
multilingual text. The package uses Perl (via perltex) to
construct its tables."
vim-filesystem,库,工具, VIM filesystem layout," This package provides some directories which are required by other
packages that add vim files, p.e.  additional syntax files or filetypes."
libvoikko,库,工具, Voikko is a library for spellcheckers and hyphenators," This is libvoikko, library for spellcheckers and hyphenators using Malaga
natural language grammar development tool. The library is written in C.

Currently only Finnish is supported, but the API of the library has been
designed to allow adding support for other languages later. Note however that
Malaga is rather low level tool that requires implementing the whole morphology
of a language as a left associative grammar. Therefore languages that have
simple or even moderately complex morphologies and do not require morphological
analysis in their hyphenators should be implemented using other tools such as
Hunspell."
xorg-x11-xkb-utils,工具,库, X.Org X11 xkb utilities, X.Org X11 xkb core utilities.
pcs,工具,库, Pacemaker Configuration System," pcs is a corosync and pacemaker configuration tool.  It permits users to
easily view, modify and create pacemaker based clusters."
grafana,服务,工具, Metrics dashboard and graph editor," Grafana is an open source, feature rich metrics dashboard and graph editor for
Graphite, InfluxDB & OpenTSDB."
gssproxy,服务,工具,GSSAPI Proxy ,A proxy for GSSAPI credential handling 
qemu-kvm-hw-usbredir,服务,库, QEMU usbredir support, This package provides usbredir support.
gvfs,服务,工具, Backends for the gio framework in GLib," The gvfs package provides backend implementations for the gio
framework in GLib. It includes ftp, sftp, cifs."
pykickstart,工具,库, Python utilities for manipulating kickstart files.," Python utilities for manipulating kickstart files.  The Python 2 and 3 libraries
can be found in the packages python-kickstart and python3-kickstart
respectively."
python3-pyghmi,库,服务, Python General Hardware Management Initiative (IPMI and others)," This is a pure Python implementation of IPMI protocol.

The included pyghmicons and pyghmiutil scripts demonstrate how one may
incorporate the pyghmi library into a Python application."
alsa-plugins-usbstream,服务,库, USB stream plugin for ALSA," The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream."
ntpstat,工具,服务, Utility to print NTP synchronization status," This package contains a script which prints a brief summary of the system
clock's synchronisation status when the ntpd or chronyd daemon is running."
ocaml-runtime,库,工具, OCaml runtime environment," OCaml is a high-level, strongly-typed, functional and object-oriented
programming language from the ML family of languages.

This package contains the runtime environment needed to run OCaml
bytecode."
deepin-reader,服务,工具," A simple PDF reader, supporting bookmarks, highlights and annotations"," A simple PDF reader, supporting bookmarks, highlights and annotations."
fprintd,服务,库, D-Bus service for Fingerprint reader access, D-Bus service to access fingerprint readers.
google-roboto-slab-fonts,其它,库, Google Roboto Slab fonts," Roboto has a dual nature. It has a mechanical skeleton and the forms are
largely geometric. At the same time, the font features friendly and open
curves. While some grotesks distort their letterforms to force a rigid
rhythm, Roboto doesn't compromise, allowing letters to be settled into
their natural width. This makes for a more natural reading rhythm more
commonly found in humanist and serif types.

This is the Roboto Slab family, which can be used alongside the normal
Roboto family and the Roboto Condensed family."
gcc-toolset-9-dyninst-testsuite,工具,库, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
appstream-data,库,服务, Cached AppStream metadata," This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers."
mt-st,工具,服务, Tool for controlling tape drives," The mt-st package contains the mt and st tape drive management
programs. Mt (for magnetic tape drives) and st (for SCSI tape devices)
can control rewinding, ejecting, skipping files and blocks and more.

Install mt-st if you need a tool to  manage tape drives."
redhat-support-tool,工具,库, Tool for console access to Red Hat subscriber services," This package contains the Red Hat Support Tool.  The Red Hat Support Tool
provides console based access to Red Hat's subscriber services.  These
services include, but are not limited to, console based access to
knowledge-base solutions, case management, automated diagnostic
services, etc."
policycoreutils-newrole,工具,服务,The newrole application for RBAC/MLS ,"RBAC/MLS policy machines require newrole as a way of changing the role
or level of a logged in user. "
kf5-kauth,工具,库, KDE Frameworks 5 Tier 2 integration module to perform actions as privileged user, KAuth is a framework to let applications perform actions as a privileged user.
net-tools,工具,服务, Basic networking tools," The net-tools package contains basic networking tools,
including ifconfig, netstat, route, and others.
Most of them are obsolete. For replacement check iproute package."
unicode-ucd-unihan,库,工具, Unicode Han Database," This package contains Unihan.zip which contains the data files for the Unified
Han database of Hanzi/Kanji/Hanja Chinese characters."
kernel-debug-modules-internal,库,服务, Extra kernel modules to match the debug kernel, This package provides kernel modules for the debug kernel package for Alibaba Cloud Linux internal usage.
babel,工具,库, Tools for internationalizing Python applications," Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
pidgin,工具,库, A Gtk+ based multiprotocol instant messaging client," Pidgin allows you to talk to anyone using a variety of messaging
protocols including AIM, MSN, Yahoo!, Jabber, Bonjour, Gadu-Gadu,
ICQ, IRC, Novell Groupwise, QQ, Lotus Sametime, Simple and Zephyr.
These protocols are implemented using a modular, easy to use design.
To use a protocol, just add an account using the account editor.

Pidgin supports many common features of other clients, as well as many
unique features, such as perl scripting, TCL scripting and C plugins.

Pidgin is not affiliated with or endorsed by America Online, Inc.,
Microsoft Corporation, Yahoo! Inc., or ICQ Inc."
kpartx,工具,库, Partition device manager for device-mapper devices, kpartx manages partition creation and removal for device-mapper devices.
gnome-photos,服务,工具," Access, organize and share your photos on GNOME"," A simple application to access, organize and share your photos on
GNOME. It is meant to be a simple and elegant replacement for using a
file manager to deal with photos. Seamless cloud integration is offered
through GNOME Online Accounts."
python38-setuptools,库,工具, Easily build and distribute Python 3 packages," Setuptools is a collection of enhancements to the Python 3 distutils that allow
you to more easily build and distribute Python 3 packages, especially ones that
have dependencies on other packages.

This package also contains the runtime components of setuptools, necessary to
execute the software that requires pkg_resources.py."
