name,label,predict,marked_text
geolite2-city,库,服务,free(其它) geolocation city data(工具)base data(工具)base free(其它) geolocation data(工具)bases comparable less accurate maxmind data(工具)bases this product include(工具) data(工具) create maxmind available(其它) http
geolite2-country,库,服务,free(其它) geolocation country data(工具)base data(工具)base free(其它) geolocation data(工具)bases comparable less accurate maxmind data(工具)bases this product include(工具) data(工具) create maxmind available(其它) http
gfbgraph,库,服务,wrapper facebook graph wrapper facebook graph integrate gnome(服务) online accounts
ghc-srpm-macros,库,工具,macro building haskell source(工具) package(工具) macros generate haskell source(工具) package(工具)
ghostscript-x11,工具,库,ghostscript(其它) driver(服务) document render this package(工具) provide(工具) driver(服务) ghostscript(其它) enable display(其它) various document file(工具) include(工具)
libgs,工具,其它,library(库) provide(工具) ghostcript core function(库)ality this library(库) provide(工具) ghostscript(其它) core function(库)ality base useful many package(工具) build ghostscript(其它)
gimp-libs,库,工具,gimp libraries package(工具) contain(工具)s share library(库) need image manipulation program(工具) gimp
git,工具,库,fast(工具) version(工具) control system fast(工具) scalable distributed revision control system unusually rich command(工具) provide(工具) operation full access(库) internals installs common tool(工具) usually small amount dependency install package(工具) include(工具) tool(工具) integrate scms install
git-credential-libsecret,工具,服务,helper access(库) credential libsecret helper access(库) credential libsecret
git-instaweb,工具,服务,repository browser gitweb simple script(其它) gitweb server(服务) browse local repository
gitweb,工具,库,simple interface(库) repository simple interface(库) repository
perl-Git,工具,库,perl(库) interface(库) perl(库) interface(库)
perl-Git-SVN,工具,库,perl(库) interface(库) perl(库) interface(库)
git-lfs,工具,服务,extension version(工具)ing large file(工具) large file(工具) storage replace large file(工具) audio sample video data(工具)sets graphic text pointer inside store file(工具) content remote server(服务)
glassfish-fastinfoset,库,工具,fast(工具) infoset fast(工具) infoset specify standardized binary encoding informat(库)ion infoset tree stax event event program(工具)matic representation serialize document specify fast(工具) infoset standard serialize fast(工具) infoset document fast(工具) infoset document generally small size fast(工具)er parse serialize equivalent document
glib2,库,服务,library(库) handy utility(工具) function(库) glib core library(库) form basis project(其它) gnome(服务) provide(工具) data(工具) structure handling portability wrapper interface(库) runtime(库) function(库)ality event loop thread dynamic loading object system
glusterfs-client-xlators,工具,服务,glusterfs translator glusterfs distributed capable scale several petabyte aggregate various storage brick infiniband rdma interconnect large parallel network(服务) file(工具) system glusterfs sophisticated file(工具) system term feature extensibility borrow powerful concept call translators hurd kernel(其它) much code(库) glusterfs user(工具) space easily manageable this package(工具) provide(工具) translator need glusterfs client(服务)
glusterfs-fuse,服务,工具,fuse client(服务) glusterfs distributed capable scale several petabyte aggregate various storage brick infiniband rdma interconnect large parallel network(服务) file(工具) system glusterfs sophisticated file(工具) system term feature extensibility borrow powerful concept call translators hurd kernel(其它) much code(库) glusterfs user(工具) space easily manageable this package(工具) provide(工具) support(工具) fuse base client(服务) inlcudes glusterfs binary
glusterfs-libs,库,服务,glusterfs common library(库) glusterfs distributed capable scale several petabyte aggregate various storage brick infiniband rdma interconnect large parallel network(服务) file(工具) system glusterfs sophisticated file(工具) system term feature extensibility borrow powerful concept call translators hurd kernel(其它) much code(库) glusterfs user(工具) space easily manageable this package(工具) provide(工具) base glusterfs library(库)
gnome-bluetooth,服务,工具,bluetooth graphical utility(工具) package(工具) contain(工具) graphical utility(工具) setup monitor bluetooth device(服务)
gnome-boxes,工具,库,simple gnome(服务) application(库) access(库) remote virtual system easily create setup access(库) remote machine remote virtual machine local virtual machine when technology permit access(库) application(库) local virtual machine
gnome-characters,库,服务,character application(库) gnome(服务) characters simple utility(工具) application(库) find insert unusual character
gnome-color-manager,工具,服务,color management tool(工具) gnome(服务) session framework make easy manage install generate color profile(工具) gnome(服务) desktop
gnome-desktop3,服务,工具,shared code(库) among nautilus package(工具) contain(工具) internal library(库) libgnome(服务)desktop implement portion gnome(服务) desktop also data(工具) file(工具) share component gnome(服务) user(工具) environment
gnome-font-viewer,服务,工具,utility(工具) preview font(其它) gnome(服务) font(其它) viewer preview font(其它) display(其它) informat(库)ion specified font(其它) font(其它) viewer display(其它) name style type size version(工具) copyright font(其它)
gnome-keyring,服务,库,framework manage password secret session daemon(服务) manage password type secret user(工具) store encrypt main password application(库)s library(库) integrate keyring
gnome-logs,服务,库,viewer systemd journal viewer systemd journal
gnome-menus,工具,库,menu system gnome(服务) project(其它) implementation(库) draft desktop menu specification this package(工具) also contain(工具) gnome(服务) menu layout configuration file(工具) file(工具) assorted menu relate utility(工具) program(工具) python(库) binding(库) simple menu editor
gnome-online-accounts,工具,服务,single framework gnome(服务) gnome(服务) online accounts provide(工具) interface(库) application(库) library(库) gnome(服务) access(库) user(工具) online account provide(工具)r google owncloud facebook flickr foursquare microsoft account pocket microsoft exchange kerberos
gnome-system-monitor,工具,库,process resource(工具) monitor allow(库) graphically view manipulate running process system also provide(工具) overview available(其它) resource(工具) memory
gnome-terminal,服务,工具,terminal emulator gnome(服务) terminal emulator gnome(服务) feature ability multiple(其它) terminal single window profile(工具) support(工具)
gnome-tweaks,服务,工具,customize advance gnome(服务) option gnome(服务) tweaks allow(库) adjust advanced configuration setting gnome(服务) this include(工具) thing like font(其它) user(工具) interface(库) element alternative user(工具) interface(库) theme change window management behavior gnome(服务) shell appearance extension
gnupg2,工具,服务,utility(工具) secure communication data(工具) storage gnupg tool(工具) secure communication data(工具) storage encrypt data(工具) create digital signature include(工具) advanced management facility compliant propose open(工具)pgp internet standard describe standard describe several rfcs gnupg version(工具) gnupg additional support(工具) different design(其它) philosophy split function(库)ality several module(库) smartcard function(库)ality provide(工具) package(工具)
gnutls-utils,工具,库,command(工具) line tool(工具) protocol(服务) gnutls secure communication library(库) implement dtls protocol(服务) technology around provide(工具) simple language(工具) application(库) program(工具) interface(库) access(库) secure communication protocol(服务) well apis parse write(库) pkcs open(工具)pgp required structure this package(工具) contain(工具) command(工具) line client(服务) server(服务) certificate manipulation tool(工具)
golang-bin,工具,库,golang core compiler tool(工具) golang core compiler tool(工具)
golang-github-lofanmi-pinyin,库,服务,
golang-github-mozillazg-pinyin,库,服务,
google-gson,其它,库,java(库) conversion(工具) java(库) object json representation gson java(库) library(库) convert java(库) object json representation also convert json string equivalent java(库) object gson work arbitrary java(库) object include(工具) object
google-guice,库,工具,lightweight dependency injection framework java(库) simply guice alleviate need factory java(库) code(库) think guice inject still need write(库) factory case code(库) depend directly your code(库) easy change unit test reuse context guice embrace java(库) type safe nature especially come feature introduce java(库) generic annotation might think guice filling miss feature core java(库) ideally language(工具) would provide(工具) feature language(工具) come along guice guice help design(其它) good apis guice good example guice kitchen sink justify feature least three case when doubt leave build general function(库)ality enable extend guice rather every feature core framework
go-srpm-macros,库,工具,macro building golang package(工具) various architecture package(工具) provide(工具) macro build project(其它) various architecture
gpac,库,工具,multimedia framework gpac multimedia framework base systems standard develop scratch ansi original development goal(其它) provide(工具) clean small flexible alternative systems reference software gpac feature integration recent multimedia standard vrml tool(工具) single framework gpac also feature systems publishing tool(工具) content distribution file(工具) many tool(工具) scene descript(其它)ion vrml converter
greenboot,服务,工具,generic health check framework systemd generic health check framework systemd
grep,工具,服务,pattern match utility(工具) version(工具) commonly grep utility(工具) grep search textual input line contain(工具) match specify pattern print matching line grep utility(工具) include(工具) grep egrep fgrep grep need many script(其它) shall instal every system
groff,工具,库,document format(库) system groff document format(库)ting system groff take standard text format(库) command(工具) input produce format(库) output created document show display(其它) print printer groff format(库) command(工具) allow(库) specify font(其它) type size bold type italic type number size column page groff also format(库) page groff window system also need install package(工具)
grub2-common,工具,服务,common layout this package(工具) provide(工具) directory require various subpackage(工具)s
grub2-efi-aa64-modules,工具,其它,module(库)s build custom image grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) support(工具) rebuild
grub2-efi-ia32-cdboot,工具,其它,file(工具)s boot remove(其它)able medium grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) optional component grub remove(其它)able medium system
grub2-efi-ia32-modules,库,其它,module(库)s build custom image grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) support(工具) rebuild
grub2-efi-x64-cdboot,工具,其它,file(工具)s boot remove(其它)able medium grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) optional component grub remove(其它)able medium system
grub2-efi-x64-modules,工具,其它,module(库)s build custom image grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) support(工具) rebuild
grub2-pc-modules,工具,其它,module(库)s build custom grub image grand unified bootloader grub highly configurable customizable bootloader modular architecture support(工具) rich variety kernel(其它) format(库) file(工具) system computer architecture hardware device(服务) this subpackage(工具) provide(工具) support(工具) rebuild
gssdp-docs,服务,库,documentation(库) file(工具) gssdp this package(工具) contain(工具) developer documentation(库) gssdp
gssntlmssp,库,服务,gssapi ntlmssp mechanism gssapi mechanism implement ntlmssp
gstreamer-tools,工具,库,common tool(工具) file(工具) gstreamer stream medium framework gstreamer streaming medium framework base graph filter operate medium data(工具) application(库)s library(库) anything sound processing play video anything else architecture mean data(工具) type process capability simply instal plugin(服务)s this package(工具) contain(工具) wrapper script(其它) tool(工具) work different version(工具) gstreamer
gstreamer1-plugins-good-gtk,库,工具,gstreamer good plugin(服务)s plugin(服务) gstreamer streaming medium framework base graph element operate medium data(工具) gstreamer good plugin(服务)s collection plugin(服务)s good quality lgpl license this package(工具) contain(工具) gtksink output plugin(服务)
gtk2-immodules,库,工具,input method package(工具) contain(工具) standalone input method ship part
gtk-vnc2,工具,库,widget client(服务) viewer widget build coroutines allow(库) completely asynchronous remain single thread
gvnc,工具,库,gobject connection gvnc gobject manage connection provide(工具) infrastructure require build client(服务) without deal protocol(服务)
guile,库,服务,implementation(库) scheme application(库) extensibility guile ubiquitous intelligent language(工具) extension library(库) implementation(库) scheme program(工具)ming language(工具) write(库) guile provide(工具) execution platform link library(库) building extensible program(工具) install guile package(工具) like extensibility program(工具) develop
gutenprint-plugin,库,工具,gimp gutenprint this package(工具) contain(工具) gutenprint gimp
gvfs,服务,库,backends framework glib gvfs package(工具) provide(工具) backend implementation(库) framework glib include(工具) sftp cifs
gvfs-afp,工具,服务,support(工具) gvfs this package(工具) provide(工具) support(工具) reading write(库) file(工具) original network(服务) share apple filing protocol(服务) application(库) gvfs
gvfs-archive,工具,服务,archiving support(工具) gvfs this package(工具) provide(工具) support(工具) access(库) file(工具) inside archive well image application(库) gvfs
gvfs-client,工具,服务,client(服务) module(库) backends framework glib gvfs package(工具) provide(工具) client(服务) module(库) backend implementation(库) framework glib
gvfs-fuse,工具,服务,fuse support(工具) gvfs this package(工具) provide(工具) support(工具) application(库) access(库) gvfs file(工具)systems
gvfs-goa,工具,服务,support(工具) gvfs this package(工具) provide(工具) seamless integration file(工具) service(服务)
gvfs-smb,工具,服务,windows file(工具)share support(工具) gvfs this package(工具) provide(工具) support(工具) reading write(库) file(工具) window share application(库) gvfs
gzip,工具,服务,data(工具) compression program(工具) gzip package(工具) contain(工具) popular gzip data(工具) compression program(工具) gzipped file(工具) extension gzip instal system commonly data(工具) compression program(工具)
hardlink,工具,库,create tree hardlinks hardlink create tree hard link kernel(其它) installation dramatically reduce amount disk space kernel(其它) package(工具) instal
hawtjni,库,工具,code(库) generator produce code(库) hawtjni code(库) generator produce code(库) need implement java(库) native method base jnigen code(库) generator part tool(工具)s project(其它) generate code(库) power eclipse platform
maven-hawtjni-plugin,库,工具,hawtjni maven(工具) plugin(服务) this package(工具) allow(库) hawtjni maven(工具) plugin(服务)
helm,服务,工具,kubernetes chart manager helm tool(工具) manage kubernetes chart charts package(工具) kubernetes resource(工具) gopkg
helm-bash-completion,工具,库,bash completion helm bash command(工具) line completion support(工具) helm
helm-fish-completion,工具,库,fish completion helm fish command(工具) line completion support(工具) helm
helm-zsh-completion,工具,库,completion helm command(工具) line completion support(工具) helm
hexchat,工具,服务,popular easy graphical chat client(服务) hexchat easy graphical chat client(服务) window system allow(库) join multiple(其它) channel chat room time talk publicly private conversation even file(工具) transfer possible
hicolor-icon-theme,工具,服务,basic requirement icon theme contain(工具)s basic directory file(工具) need icon theme support(工具)
highlight-gui,工具,库,hihghlight source(工具) code(库) format(库)ter highlight source(工具) code(库) format(库)ter source(工具)
hivex,工具,库,read write(库) windows registry binary hive file(工具) hive file(工具) undocumented binary file(工具) windows store windows registry disk hivex library(库) read write(库) file(工具) shell interactively navigate hive binary file(工具) export merge textual regedit format(库) convert hive file(工具) useful format(库) order access(库) hive file(工具) copy windows machine they usually find systemroot virtual machine recommend libguestfs guestfish copy file(工具) libguestfs also provide(工具) useful tool(工具) call base hivex technology query specific registry exist windows ocaml binding(库) perl(库) binding(库) python(库) binding(库) ruby binding(库)
hplip,工具,服务,linux imaging printing project(其它) linux imaging printing project(其它) provide(工具) driver(服务) printer peripheral
hspell,工具,库,hebrew spell checker hspell hebrew speller morphological analyzer provide(工具) mostly interface(库) give list wrong word input text also suggest correction also provide(工具) true morphological analyzer print known meaning hebrew string hspell still follow june spell standard academy hebrew language(工具)
httpcomponents-client,库,服务,http agent(服务) implementation(库) base httpcomponents httpcore httpclient(服务) compliant http agent(服务) implementation(库) base httpcomponents httpcore also provide(工具) reusable component authentication http state management http connection management httpcomponents client(服务) successor replacement commons httpclient(服务) user(工具)s commons httpclient(服务) strongly encourage upgrade
hyphen-be,工具,库,belarusian hyphenation rule belarusian hyphenation rule
hyphen-et,工具,库,estonian hyphenation rule estonian hyphenation rule
hyphen-hr,工具,库,croatian hyphenation rule croatian hyphenation rule
mythes-lb,工具,库,luxembourgish thesaurus luxembourgish thesaurus
hyphen-nn,工具,库,nynorsk hyphenation rule nynorsk hyphenation rule
mythes-nb,工具,库,bokmaal thesaurus bokmaal thesaurus
mythes-nn,工具,库,nynorsk thesaurus nynorsk thesaurus
hwinfo,工具,服务,hardware informat(库)ion tool(工具) hwinfo probe hardware present system generate system overview later support(工具)
hwloc,工具,服务,portable hardware locality portable abstraction hierarchical architecture portable hardware locality hwloc software package(工具) provide(工具) portable abstraction across version(工具) architecture hierarchical topology modern architecture include(工具) numa memory node share cache processor socket processor core process unit logical processor thread also gather various system attribute cache memory informat(库)ion primarily help application(库) gather informat(库)ion modern compute hardware exploit accordingly efficiently hwloc display(其它) topology multiple(其它) convenient format(库) also offer powerful program(工具)ming interface(库) gather informat(库)ion hardware bind process much
i2c-tools-perl,工具,库,tool(工具) write(库) perl(库) collection tool(工具) write(库) perl(库) device(服务)
ibus,工具,服务,intelligent input linux ibus mean intelligent input input framework linux
ibus-devel-docs,库,工具,developer document ibus package(工具) contain(工具) developer documentation(库) ibus
ibus-gtk2,库,工具,ibus module(库) this package(工具) contain(工具) ibus module(库)
ibus-gtk3,库,工具,ibus module(库) this package(工具) contain(工具) ibus module(库)
icu,库,工具,international components unicode(库)(其它) tool(工具)s utility(工具) develop
initial-setup,工具,服务,initial system configuration utility(工具) utility(工具) installation guide user(工具) series step allow(库) easy configuration machine
inkscape-docs,工具,库,documentation(库) inkscape tutorial example inkscape graphic editor vector graphic standard scalable vector graphics file(工具) format(库)
intel-cmt-cat,工具,服务,provide(工具)s command(工具) line interface(库) technology this software package(工具) provide(工具) basic support(工具) cache monitoring technology memory bandwidth monitoring cache allocation technology memory bandwidth allocation code(库) data(工具) prioratization configure model(工具) specific registers msrs measure last level cache occupancy class(库) service(服务) mask manage association thread class(库) service(服务) software execute user(工具) space access(库) msrs obtain standard linux interface(库) virtual file(工具) system provide(工具) interface(库) read write(库) register require root privilege
ipa-client-common,工具,服务,common file(工具) client(服务) integrated solution provide(工具) centrally manage identity user(工具) host service(服务) authentication authorization host access(库) control selinux user(工具) role service(服务) solution provide(工具) feature integration linux base client(服务) sudo automount integration active directory base infrastructure trusts network(服务) authentication package(工具) instal every client(服务) machine
ipa-client-samba,工具,服务,tool(工具)s configure samba client(服务) this package(工具) provide(工具) tool(工具) deploy samba domain(服务) member machine enrol free(其它)ipa environment
ipa-common,工具,服务,common file(工具) integrated solution provide(工具) centrally manage identity user(工具) host service(服务) authentication authorization host access(库) control selinux user(工具) role service(服务) solution provide(工具) feature integration linux base client(服务) sudo automount integration active directory base infrastructure trusts need install package(工具)
ipa-selinux,工具,服务,free(其它)ipa selinux policy custom selinux policy module(库) free(其它)ipa
python3-ipaclient,库,服务,python(库) library(库) client(服务) integrated solution provide(工具) centrally manage identity user(工具) host service(服务) authentication authorization host access(库) control selinux user(工具) role service(服务) solution provide(工具) feature integration linux base client(服务) sudo automount integration active directory base infrastructure trusts network(服务) authentication package(工具) instal every client(服务) machine
python3-ipaserver,服务,库,python(库) library(库) server(服务) integrated solution provide(工具) centrally manage identity user(工具) host service(服务) authentication authorization host access(库) control selinux user(工具) role service(服务) solution provide(工具) feature integration linux base client(服务) sudo automount integration active directory base infrastructure trusts instal server(服务) need install package(工具)
python3-ipatests,工具,服务,test test tool(工具) integrated solution provide(工具) centrally manage identity user(工具) host service(服务) authentication authorization host access(库) control selinux user(工具) role service(服务) solution provide(工具) feature integration linux base client(服务) sudo automount integration active directory base infrastructure trusts this package(工具) contain(工具) test verify function(库)ality python(库)
ipa-healthcheck-core,工具,服务,core plugin(服务) system healthcheck core file(工具)
ipa-healthcheck,工具,服务,health check tool(工具) free(其它)ipa health check tool(工具) provide(工具) check proactively detect defect free(其它)ipa cluster
ipcalc,工具,服务,network(服务) address calculator ipcalc provide(工具) simple calculate informat(库)ion host network(服务) depending option specify provide(工具) network(服务) informat(库)ion human readable format(库) format(库) suitable parse script(其它) generate random private address resolve address check validity address
exchange-bmc-os-info,工具,服务,exchange info given host package(工具) would pass hostname informat(库)ion also capture info host
ipmievd,工具,服务,ipmi event daemon(服务) send event syslog ipmievd daemon(服务) listen event send also message syslog
iptables-utils,工具,服务,iptables service(服务) iptables utils iptables currently provide(工具) data(工具)base
iputils,工具,服务,network(服务) monitoring tool(工具) include(工具) ping iputils package(工具) contain(工具) basic utility(工具) monitor network(服务) include(工具) ping ping command(工具) send series icmp protocol(服务) packets specify network(服务) host discover whether target machine alive receive network(服务) traffic
iputils-ninfod,工具,服务,node informat(库)ion query daemon(服务) node informat(库)ion query daemon(服务) responds node informat(库)ion queries
ipxe-bootimgs-aarch64,服务,其它,network(服务) boot loader image bootable grub format(库) ipxe open(工具) source(工具) network(服务) bootloader provide(工具) direct replacement proprietary roms many extra feature http iscsi this package(工具) contain(工具) ipxe boot image grub format(库)
ipxe-bootimgs-x86,服务,其它,network(服务) boot loader image bootable floppy grub format(库) ipxe open(工具) source(工具) network(服务) bootloader provide(工具) direct replacement proprietary roms many extra feature http iscsi this package(工具) contain(工具) ipxe boot image floppy undi format(库)
ipxe-roms,服务,其它,network(服务) boot loader format(库) ipxe open(工具) source(工具) network(服务) bootloader provide(工具) direct replacement proprietary roms many extra feature http iscsi this package(工具) contain(工具) ipxe format(库)
ipxe-roms-qemu,服务,其它,network(服务) boot loader support(工具) qemu format(库) ipxe open(工具) source(工具) network(服务) bootloader provide(工具) direct replacement proprietary roms many extra feature http iscsi this package(工具) contain(工具) ipxe roms device(服务) emulate qemu format(库)
isns-utils,工具,服务,isns daemon(服务) utility(工具) program(工具) isns package(工具) contain(工具) daemon(服务) tool(工具) setup isns server(服务) isns client(服务) tool(工具) internet storage name service(服务) isns protocol(服务) allow(库) automate discovery management configuration iscsi fibre channel device(服务) ifcp gateway network(服务)
isns-utils-libs,工具,库,shared library(库) file(工具) isns shared library(库) file(工具) isns
iso-codes,工具,其它,code(库) list translation this package(工具) provide(工具) language(工具) code(库) list currency code(库) list territory code(库) list list translation gettext format(库)
jack-audio-connection-kit-example-clients,工具,库,example client(服务) jack small example client(服务) jack audio connection
java-1.8.0-alibaba-dragonwell-fastdebug,工具,库,alibaba dragonwell runtime(库) environment fast(工具)debug alibaba dragonwell runtime(库) environment fast(工具)debug
java-1.8.0-alibaba-dragonwell-src-slowdebug,工具,库,alibaba dragonwell runtime(库) environment slowdebug alibaba dragonwell runtime(库) environment slowdebug
java-1.8.0-openjdk-demo-slowdebug,库,服务,open(工具)jdk demos unoptimised full debug open(工具)jdk demo this package(工具) unoptimised full debugging install need remove(其它) asap
java-1.8.0-openjdk-devel-slowdebug,库,工具,open(工具)jdk development environment unoptimised full debug open(工具)jdk development tool(工具) this package(工具) unoptimised full debugging install need remove(其它) asap
java-1.8.0-openjdk-headless-slowdebug,工具,库,open(工具)jdk runtime(库) environment unoptimised full debug open(工具)jdk runtime(库) environment without audio video support(工具) this package(工具) unoptimised full debugging install need remove(其它) asap
java-1.8.0-openjdk-fastdebug,库,服务,open(工具)jdk runtime(库) environment optimise full debug open(工具)jdk runtime(库) environment this package(工具) optimise full debugging install need remove(其它) asap
java-11-alibaba-dragonwell-devel-fastdebug,库,工具,alibaba runtime(库) environment devel fast(工具)debug alibaba runtime(库) environment devel fast(工具)debug
java-11-alibaba-dragonwell-devel-slowdebug,库,工具,alibaba runtime(库) environment devel slowdebug alibaba runtime(库) environment devel slowdebug
java-11-alibaba-dragonwell-fastdebug,库,工具,alibaba runtime(库) environment fast(工具)debug alibaba runtime(库) environment fast(工具)debug
java-11-alibaba-dragonwell-jmods-slowdebug,工具,库,alibaba runtime(库) environment jmods slowdebug alibaba runtime(库) environment jmods slowdebug
java-11-alibaba-dragonwell-src,工具,库,alibaba alibaba
java-11-alibaba-dragonwell-src-slowdebug,工具,库,alibaba runtime(库) environment slowdebug alibaba runtime(库) environment slowdebug
java-11-alibaba-dragonwell-static-libs,库,工具,alibaba static libs alibaba static libs
java-11-openjdk-devel-slowdebug,库,工具,open(工具)jdk development environment unoptimised full debug open(工具)jdk development tool(工具) this package(工具) unoptimised full debugging install need remove(其它) asap
java-17-openjdk-devel-slowdebug,库,工具,open(工具)jdk development environment unoptimised full debug open(工具)jdk development tool(工具) this package(工具) unoptimised full debugging install need remove(其它) asap
java-17-openjdk-fastdebug,库,服务,open(工具)jdk runtime(库) environment optimise full debug open(工具)jdk runtime(库) environment this package(工具) optimise full debugging install need remove(其它) asap
java-17-openjdk-headless-fastdebug,库,工具,open(工具)jdk runtime(库) environment optimise full debug open(工具)jdk runtime(库) environment without audio video support(工具) this package(工具) optimise full debugging install need remove(其它) asap
java-atk-wrapper,库,工具,java(库) wrapper java(库) wrapper implementation(库) technic convert java(库) swing event event send event part bonobo deprecation project(其它) replace former talk keep affect change underlie communication mechanism
javacc,工具,库,generator java(库) java(库) compiler compiler java(库)cc popular parser generator java(库) application(库) parser generator tool(工具) read grammar specification convert java(库) program(工具) recognize match grammar addition parser generator java(库)cc provide(工具) standard capability relate parser generation tree building tool(工具) call jjtree include(工具) java(库)cc action debug
javacc-manual,库,工具,manual java(库)cc manual java(库)cc
javapackages-tools,工具,库,macros script(其它) java(库) package(工具) support(工具) this package(工具) provide(工具) macro script(其它) support(工具) java(库) packaging
javapackages-local,库,工具,macro script(其它) java(库) package(工具) support(工具) this package(工具) provide(工具) macro script(其它) support(工具) java(库) packaging
jctools,库,工具,java(库) concurrency tool(工具)s this project(其它) offer concurrent data(工具) structure currently miss bounded lock free(其它) queue unbounded lock free(其它) queue alternative interface(库) queue offheap concurrent ring buffer purpose single write(库)r implementation(库) contention stats counter executor
jq,工具,库,json processor lightweight flexible json processor like json data(工具) slice filter transform structure data(工具) ease grep friend play text write(库) portable zero runtime(库) dependency mangle data(工具) format(库) want little effort program(工具) often short simple expect
js-d3-flame-graph,库,服务,plugin(服务) produce flame graph plugin(服务) produce flame graph hierarchical data(工具)
kabi-dw,工具,库,detect change kernel(其它) build detect change successive build linux kernel(其它) this dump dwarf type informat(库)ion section specific symbol text file(工具) later compare text file(工具)
kata-containers,服务,工具,kata contain(工具)ers version(工具) repository kata contain(工具)ers version(工具) repository kata contain(工具)ers open(工具) source(工具) project(其它) community work build standard implementation(库) lightweight virtual machines feel perform like contain(工具)er provide(工具) workload isolation security advantage http gopkg
kbd-legacy,库,工具,legacy data(工具) package(工具) package(工具) contain(工具) original keymaps package(工具) please note helpful without
kbd-misc,库,其它,data(工具) package(工具) package(工具) contain(工具) data(工具) package(工具) console font(其它) keymaps please note helpful without
kde-filesystem,工具,其它,file(工具)system layout this package(工具) provide(工具) directory
kde-settings,工具,服务,config file(工具) config file(工具)
kde-settings-plasma,工具,服务,configuration file(工具) plasma configuration file(工具) plasma
kde-settings-pulseaudio,工具,服务,enable pulseaudio support(工具) enable pulseaudio support(工具)
qt-settings,库,服务,configuration file(工具) configuration file(工具)
kdump-anaconda-addon,工具,服务,kdump configuration anaconda addon kdump anaconda addon
keentune-bench,工具,服务,benchmark script(其它) model(工具) keentune benchmark script(其它) model(工具) keentune
keentune-brain,库,服务,algorithm module(库) keentune algorithm module(库) keentune
keentuned,服务,工具,keentune tuning tool(工具) keentune tuning tool(工具) package(工具)
keentune-ui,工具,其它,keentune keentune package(工具)
bpftool,工具,库,inspection simple manipulation ebpf program(工具) this package(工具) contain(工具) bpftool(工具) allow(库) inspection simple manipulation ebpf program(工具)
kernel-tools-libs,其它,库,libraries this package(工具) contain(工具) library(库) build directory kernel(其它) source(工具)
keycloak-httpd-client-install,工具,库,tool(工具)s configure apache httpd keycloak client(服务) keycloak federated identity provide(工具)r apache httpd support(工具) variety authentication module(库) configure utilize keycloak perform authentication this package(工具) contain(工具) library(库) tool(工具) automate simplify configure apache httpd authentication module(库) registering client(服务) keycloak
kf5-rpm-macros,工具,库,macro frameworks macro build frameworks package(工具)
kf5-attica,库,工具,frameworks tier addon open(工具) collaboration service(服务)s attica library(库) implement open(工具) collaboration service(服务)s version(工具)
kf5-frameworkintegration-libs,工具,库,runtime(库) library(库) runtime(库) library(库)
kf5-kconfig,工具,库,frameworks tier addon advanced configuration system frameworks tier addon advanced configuration system make part kconfigcore kconfiggui
kf5-kconfig-gui,工具,库,part kconfig framework kconfiggui provide(工具) hook widget configuration automatically initialize configuration automatically propagate change respective configuration file(工具)
kf5-kcrash,工具,库,frameworks tier addon handle application(库) crash kcrash provide(工具) support(工具) intercept handle application(库) crash
kf5-kglobalaccel-libs,工具,库,runtime(库) library(库) runtime(库) library(库)
kf5-kidletime,工具,库,frameworks tier integration module(库) idle time detection frameworks tier integration module(库) idle time detection
kf5-kio,工具,库,frameworks tier solution file(工具)system abstraction frameworks tier solution file(工具)system abstraction
kf5-kio-core,工具,库,core component framework kiocore library(库) provide(工具) core component work
kf5-kio-core-libs,工具,库,runtime(库) library(库) core runtime(库) library(库) core
kf5-kwallet-libs,工具,库,kwallet framework library(库) provide(工具)s access(库) kwallet data(工具) application(库)
kf5-kwindowsystem,工具,库,frameworks tier integration module(库) class(库) windows management frameworks tier integration module(库) provide(工具) class(库) manage work window
kf5-solid,工具,库,frameworks tier integration module(库) provide(工具) hardware informat(库)ion solid provide(工具) following feature application(库) developer hardware discovery power management network(服务) management
kmod-libs,库,工具,libraries handle kernel(其它) module(库) load unload package(工具) provide(工具) runtime(库) library(库) application(库) wish load unload linux kernel(其它) module(库) system
kpatch-dnf,工具,库,manager plugin(服务) plugin(服务) manage subscript(其它)ion update when enable kernel(其它) package(工具) automatically subscribe correspond package(工具) update
krb5-libs,库,服务,shared library(库) kerberos kerberos network(服务) authentication system package(工具) contain(工具) shared library(库) need kerberos kerberos need install package(工具)
krb5-pkinit,库,服务,pkinit module(库) kerberos kerberos network(服务) authentication system package(工具) contain(工具) pkinit plugin(服务) allow(库) client(服务) obtain initial credential private certificate
