name,label,layer_pred,class_pred,summary,description
dotnet5.0-build-reference-packages,应用库,应用,其它,Reference packages needed by the .NET 5.0 SDK build,"This contains references packages used for building .NET 5.

This is not meant to be used by end-users."
dotnet-templates-6.0,应用库,核心,库,.NET 6.0 templates,"This package contains templates used by the .NET SDK.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
dotnet-sdk-6.0-source-built-artifacts,应用库,应用,其它,Internal package for building .NET 6.0 Software Development Kit,"The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use."
dotnet-build-reference-packages,应用库,应用,其它,Reference packages needed by the .NET Core SDK build,"This contains references packages used for building .NET Core.

This is not meant to be used by end-users."
dovecot-mysql,应用库,应用,服务,MySQL back end for dovecot,This package provides the MySQL back end for dovecot-auth etc.
dovecot-pgsql,应用库,应用,服务,Postgres SQL back end for dovecot,This package provides the Postgres SQL back end for dovecot-auth etc.
dovecot-pigeonhole,应用库,核心,工具,Sieve and managesieve plug-in for dovecot,This package provides sieve and managesieve plug-in for dovecot LDA.
doxygen,应用工具,系统,库,A documentation system for C/C++,"Doxygen can generate an online class browser (in HTML) and/or a
reference manual (in LaTeX) from a set of documented source files. The
documentation is extracted directly from the sources. Doxygen can
also be configured to extract the code structure from undocumented
source files."
doxygen-doxywizard,应用工具,应用,库,A GUI for creating and editing configuration files,"Doxywizard is a GUI for creating and editing configuration files that
are used by doxygen."
Dragonfly-supernode,应用服务,系统,工具,Dragonfly Cluster Manager(Supernode),"Dragonfly Cluster Manager(Supernode) is the P2P server, which is mainly
responsible for scheduling P2P task and making CDN cache."
driverctl,系统工具,核心,工具,Device driver control utility,"driverctl is a tool for manipulating and inspecting the system
device driver choices.

Devices are normally assigned to their sole designated kernel driver
by default. However in some situations it may be desireable to
override that default, for example to try an older driver to
work around a regression in a driver or to try an experimental alternative
driver. Another common use-case is pass-through drivers and driver
stubs to allow userspace to drive the device, such as in case of
virtualization.

driverctl integrates with udev to support overriding
driver selection for both cold- and hotplugged devices from the
moment of discovery, but can also change already assigned drivers,
assuming they are not in use by the system. The driver overrides
created by driverctl are persistent across system reboots
by default."
dropwatch,应用工具,系统,工具,Kernel dropped packet monitor,"dropwatch is an utility to interface to the kernel to monitor for dropped
network packets."
dtc,应用库,系统,库,Device Tree Compiler,"Devicetree is a data structure for describing hardware. Rather than hard coding
every detail of a device into an operating system, many aspects of the hardware
can be described in a data structure that is passed to the operating system at
boot time. The devicetree is used by OpenFirmware, OpenPOWER Abstraction Layer
(OPAL), Power Architecture Platform Requirements (PAPR) and in the standalone
Flattened Device Tree (FDT) form."
libfdt,应用库,系统,库,Device tree library,"libfdt is a library to process Open Firmware style device trees on various
architectures."
dtkcore,应用工具,应用,库,Deepin tool kit core modules,Deepin tool kit core modules.
dtkgui,应用工具,应用,库,Deepin dtkgui,Dtkgui is the GUI module for DDE look and feel.
dump,应用工具,核心,工具,Programs for backing up and restoring ext2/ext3/ext4 filesystems,"The dump package contains both dump and restore. Dump examines files
in a filesystem, determines which ones need to be backed up, and
copies those files to a specified disk, tape, or other storage medium.
The restore command performs the inverse function of dump; it can
restore a full backup of a filesystem. Subsequent incremental backups
can then be layered on top of the full backup. Single files and
directory subtrees may also be restored from full or partial backups.

Install dump if you need a system for both backing up filesystems and
restoring filesystems after backups."
dvd+rw-tools,应用工具,应用,库,Toolchain to master DVD+RW/+R media,"Collection of tools to master DVD+RW/+R media. For further
information see http://fy.chalmers.se/~appro/linux/DVD+RW/."
dwarves,应用工具,系统,工具,Debugging Information Manipulation Tools (pahole & friends),"dwarves is a set of tools that use the debugging information inserted in
ELF binaries by compilers such as GCC, used by well known debuggers such as
GDB, and more recent ones such as systemtap.

Utilities in the dwarves suite include pahole, that can be used to find
alignment holes in structs and classes in languages such as C, C++, but not
limited to these.

It also extracts other information such as CPU cacheline alignment, helping
pack those structures to achieve more cache hits.

These tools can also be used to encode and read the BTF type information format
used with the Linux kernel bpf syscall, using 'pahole -J' and 'pahole -F btf'.

A diff like tool, codiff can be used to compare the effects changes in source
code generate on the resulting binaries.

Another tool is pfunct, that can be used to find all sorts of information about
functions, inlines, decisions made by the compiler about inlining, etc.

One example of pfunct usage is in the fullcircle tool, a shell that drivers
pfunct to generate compileable code out of a .o file and then build it using
gcc, with the same compiler flags, and then use codiff to make sure the
original .o file and the new one generated from debug info produces the same
debug info.

Pahole also can be used to use all this type information to pretty print raw data
according to command line directions.

Headers can have its data format described from debugging info and offsets from
it can be used to further format a number of records.

The btfdiff utility compares the output of pahole from BTF and DWARF to make
sure they produce the same results."
libdwarves1,应用库,系统,库,Debugging information  processing library,Debugging information processing library.
dwz,应用工具,核心,库,DWARF optimization and duplicate removal tool,"The dwz package contains a program that attempts to optimize DWARF
debugging information contained in ELF shared libraries and ELF executables
for size, by replacing DWARF information representation with equivalent
smaller representation where possible and by reducing the amount of
duplication using techniques from DWARF standard appendix E - creating
DW_TAG_partial_unit compilation units (CUs) for duplicated information
and using DW_TAG_imported_unit to import it into each CU that needs it."
dyninst,应用工具,应用,库,An API for Run-time Code Generation,"
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching."
dyninst-static,应用库,核心,库,Static libraries for the compiling programs with Dyninst,"dyninst-static includes the static versions of the library files for
the dyninst user-space libraries and interfaces."
e2fsprogs,系统工具,系统,库,"Utilities for managing ext2, ext3, and ext4 file systems","The e2fsprogs package contains a number of utilities for creating,
checking, modifying, and correcting any inconsistencies in second,
third and fourth extended (ext2/ext3/ext4) file systems. E2fsprogs
contains e2fsck (used to repair file system inconsistencies after an
unclean shutdown), mke2fs (used to initialize a partition to contain
an empty ext2 file system), debugfs (used to examine the internal
structure of a file system, to manually repair a corrupted
file system, or to create test cases for e2fsck), tune2fs (used to
modify file system parameters), and most of the other core ext2fs
file system utilities.

You should install the e2fsprogs package if you need to manage the
performance of an ext2, ext3, or ext4 file system."
eclipse-equinox-osgi,应用工具,应用,库,Eclipse OSGi - Equinox,Eclipse OSGi - Equinox
eclipse-jdt,应用工具,应用,库,Eclipse Java Development Tools,"Eclipse Java Development Tools.  This package is required to use Eclipse for
developing software written in the Java programming language."
eclipse-p2-discovery,应用工具,应用,库,Eclipse p2 Discovery,"The p2 Discovery mechanism provides a simplified and branded front-end for the
p2 provisioning platform. Discovery can be used as a tool to display and
install from existing P2 repositories or as a framework to build branded
installer UIs."
eclipse-swt,应用工具,应用,库,SWT Library for GTK+,SWT Library for GTK+.
eclipse-ecf-runtime,应用工具,应用,库,Eclipse Communication Framework (ECF) Eclipse plug-in,"ECF is a set of frameworks for building communications into applications and
services. It provides a lightweight, modular, transport-independent, fully
compliant implementation of the OSGi Remote Services standard."
eclipse-emf-core,应用工具,应用,库,Eclipse EMF Core Bundles,Core EMF bundles required by the Eclipse platform.
eclipse-emf-runtime,应用工具,应用,库,Eclipse Modeling Framework (EMF) Eclipse plug-in,"The Eclipse Modeling Framework (EMF) allows developers to build tools and
other applications based on a structured data model. From a model
specification described in XMI, EMF provides tools and run-time support to
produce a set of Java classes for the model, along with a set of adapter
classes that enable viewing and command-based editing of the model, and a
basic editor."
eclipse-emf-xsd,应用工具,应用,库,XML Schema Definition (XSD) Eclipse plug-in,"The XML Schema Definition (XSD) plug-in is a library that provides an API for
manipulating the components of an XML Schema as described by the W3C XML
Schema specifications, as well as an API for manipulating the DOM-accessible
representation of XML Schema as a series of XML documents."
ed,应用工具,系统,工具,The GNU line editor,"Ed is a line-oriented text editor, used to create, display, and modify
text files (both interactively and via shell scripts).  For most
purposes, ed has been replaced in normal usage by full-screen editors
(emacs and vi, for example).

Ed was the original UNIX editor, and may be used by some programs.  In
general, however, you probably don't need to install it and you probably
won't use it."
edk2-ovmf,应用库,应用,其它,UEFI firmware for x86_64 virtual machines,"OVMF (Open Virtual Machine Firmware) is a project to enable UEFI support for
Virtual Machines. This package contains a sample 64-bit UEFI firmware for QEMU
and KVM."
efibootmgr,核心工具,系统,工具,EFI Boot Manager,"efibootmgr displays and allows the user to edit the Intel Extensible
Firmware Interface (EFI) Boot Manager variables.  Additional
information about EFI can be found at
http://developer.intel.com/technology/efi/efi.htm and http://uefi.org/."
efi-filesystem,系统库,应用,其它,The basic directory layout for EFI machines,"The efi-filesystem package contains the basic directory layout for EFI
machine bootloaders and tools."
efi-srpm-macros,系统库,核心,工具,Common SRPM Macros for building EFI-related packages,efi-srpm-macros provides a set of SRPM macros for use in EFI-related packages.
efivar,核心服务,系统,工具,Tools to manage UEFI variables,efivar provides a simple command line interface to the UEFI variable facility.
efivar-libs,核心库,应用,工具,Library to manage UEFI variables,Library to allow for the simple manipulation of UEFI variables.
elfutils,核心工具,系统,工具,A collection of utilities and DSOs to handle ELF files and DWARF data,"Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections)."
elfutils-devel-static,核心库,核心,其它,Static archives to handle compiled objects,"The elfutils-devel-static package contains the static archives
with the code to handle compiled objects."
elfutils-libelf-devel-static,核心库,核心,其它,Static archive of libelf,"The elfutils-libelf-static package contains the static archive
for libelf."
elfutils-libs,核心库,系统,工具,Libraries to handle compiled objects,"The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries."
elinks,应用工具,应用,服务,A text-mode Web browser,"Elinks is a text-based Web browser. Elinks does not display any images,
but it does support frames, tables and most other HTML tags. Elinks'
advantage over graphical browsers is its speed--Elinks starts and exits
quickly and swiftly displays Web pages."
emacs-nox,应用工具,系统,库,GNU Emacs text editor without X support,"Emacs is a powerful, customizable, self-documenting, modeless text
editor. Emacs contains special code editing features, a scripting
language (elisp), and the capability to read mail, news, and more
without leaving the editor.

This package provides an emacs binary with no X windows support for running
on a terminal."
emacs-terminal,应用工具,核心,工具,A desktop menu item for GNU Emacs terminal.,"Contains a desktop menu item running GNU Emacs terminal. Install
emacs-terminal if you need a terminal with Malayalam support.

Please note that emacs-terminal is a temporary package and it will be
removed when another terminal becomes capable of handling Malayalam."
enca,应用工具,应用,库,Character set analyzer and detector,"Enca is an Extremely Naive Charset Analyser. It detects character set and
encoding of text files and can also convert them to other encodings using
either a built-in converter or external libraries and tools like libiconv,
librecode, or cstocs.

Currently, it has support for Belarussian, Bulgarian, Croatian, Czech,
Estonian, Latvian, Lithuanian, Polish, Russian, Slovak, Slovene, Ukrainian,
Chinese and some multibyte encodings (mostly variants of Unicode)
independent on the language.

This package also contains shared Enca library other programs can make use of.

Install enca if you need to cope with text files of dubious origin
and unknown encoding and convert them to some reasonable encoding."
enchant,应用库,应用,工具,An Enchanting Spell Checking Library,A library that wraps other spell checking backends.
enscript,应用工具,系统,工具,A plain ASCII to PostScript converter,"GNU enscript is a free replacement for Adobe's Enscript
program. Enscript converts ASCII files to PostScript(TM) and spools
generated PostScript output to the specified printer or saves it to a
file. Enscript can be extended to handle different output media and
includes many options for customizing printouts"
environment-modules,系统工具,核心,工具,Provides dynamic modification of a user's environment,"The Environment Modules package provides for the dynamic modification of
a user's environment via modulefiles.

Each modulefile contains the information needed to configure the shell
for an application. Once the Modules package is initialized, the
environment can be modified on a per-module basis using the module
command which interprets modulefiles. Typically modulefiles instruct
the module command to alter or set shell environment variables such as
PATH, MANPATH, etc. modulefiles may be shared by many users on a system
and users may have their own collection to supplement or replace the
shared modulefiles.

Modules can be loaded and unloaded dynamically and atomically, in an
clean fashion. All popular shells are supported, including bash, ksh,
zsh, sh, csh, tcsh, as well as some scripting languages such as perl.

Modules are useful in managing different versions of applications.
Modules can also be bundled into metamodules that will load an entire
suite of different applications.

NOTE: You will need to get a new shell after installing this package to
have access to the module alias."
eog,应用工具/桌面,应用,库,Eye of GNOME image viewer,"The Eye of GNOME image viewer (eog) is the official image viewer for the
GNOME desktop. It can view single image files in a variety of formats, as
well as large image collections.

eog is extensible through a plugin system."
epel-aliyuncs-next-release,基础环境,核心,其它,Extra Packages for Enterprise Linux Next repository configuration,"This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum."
epel-next-release,基础环境,核心,其它,Extra Packages for Enterprise Linux Next repository configuration,"This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum."
epel-rpm-macros,基础环境,核心,工具,Extra Packages for Enterprise Linux RPM macros,"This package contains the Extra Packages for Enterprise Linux (EPEL) RPM
macros for building EPEL packages."
erofs-fuse,系统工具,核心,工具,Experimental FUSE support for reading EROFS images,"EROFS stands for Enhanced Read-Only File System.  Different from other
read-only file systems, it is designed for flexibility, scalability, and
simplicity for high performance.

The erofs-fuse package includes erofsfuse to read EROFS images."
erofs-utils,系统工具,核心,工具,Utilities for working with EROFS,"EROFS stands for Enhanced Read-Only File System.  Different from other
read-only file systems, it is designed for flexibility, scalability, and
simplicity for high performance.

The erofs-utils package includes mkfs.erofs to create EROFS images."
esc,应用工具,核心,服务,Enterprise Security Client Smart Card Client,"Enterprise Security Client allows the user to enroll and manage their
cryptographic smartcards."
espeak-ng,应用工具,系统,工具,eSpeak NG Text-to-Speech,"The eSpeak NG (Next Generation) Text-to-Speech program is an open source speech
synthesizer that supports over 70 languages. It is based on the eSpeak engine
created by Jonathan Duddington. It uses spectral formant synthesis by default
which sounds robotic, but can be configured to use Klatt formant synthesis
or MBROLA to give it a more natural sound."
eth-tools-basic,系统工具,应用,工具,Management level tools and scripts,Contains basic tools for fabric management necessary on all compute nodes.
eth-tools-fastfabric,系统工具,应用,工具,Management level tools and scripts,Contains tools for managing fabric on a management node.
evemu,系统工具,应用,库,Event Device Query and Emulation Program,"evemu is a simple utility to capture the event stream from input devices
and replay that stream on a virtual input device."
evemu-libs,系统库,应用,库,Event Device Query and Emulation Program Library,"evemu base library, used by the evemu tools."
evince,应用工具/桌面,应用,库,Document viewer,"Evince is simple multi-page document viewer. It can display and print
Portable Document Format (PDF), PostScript (PS) and Encapsulated PostScript
(EPS) files. When supported by the document format, evince allows searching
for text, copying text to the clipboard, hypertext navigation,
table-of-contents bookmarks and editing of forms."
evince-browser-plugin,应用工具/桌面,应用,库,Evince web browser plugin,This package contains the evince web browser plugin.
evolution,应用工具/桌面,应用,服务,Mail and calendar client for GNOME,"Evolution is the GNOME mailer, calendar, contact manager and
communications tool.  The components which make up Evolution
are tightly integrated with one another and act as a seamless
personal information-management tool."
evolution-help,应用工具/桌面,应用,服务,Help files for evolution,This package contains user documentation for evolution.
evolution-langpacks,应用工具/桌面,应用,服务,Translations for evolution,This package contains translations for evolution.
evolution-pst,应用工具/桌面,应用,服务,PST importer plugin for Evolution,"This package contains the plugin to import Microsoft Personal Storage Table
(PST) files used by Microsoft Outlook and Microsoft Exchange."
evolution-spamassassin,应用工具/桌面,核心,工具,SpamAssassin plugin for Evolution,This package contains the plugin to filter junk mail using SpamAssassin.
evolution-data-server,应用工具/桌面,核心,服务,Backend data server for Evolution,"The evolution-data-server package provides a unified backend for programs that work
with contacts, tasks, and calendar information.

It was originally developed for Evolution (hence the name), but is now used
by other packages."
evolution-data-server-langpacks,应用工具/桌面,应用,服务,Translations for evolution-data-server,This package contains translations for evolution-data-server.
evolution-data-server-perl,应用工具/桌面,系统,工具,Supplemental utilities that require Perl,This package contains supplemental utilities for evolution-data-server that require Perl.
evolution-ews,应用工具/桌面,应用,服务,Evolution extension for Exchange Web Services,"This package allows Evolution to interact with Microsoft Exchange servers,
versions 2007 and later, through its Exchange Web Services (EWS) interface."
evolution-ews-langpacks,应用工具/桌面,应用,服务,Translations for evolution-ews,This package contains translations for evolution-ews.
evolution-mapi,应用工具/桌面,应用,服务,Evolution extension for MS Exchange 2007 servers,This package allows Evolution to interact with MS Exchange 2007 servers.
evolution-mapi-langpacks,应用工具/桌面,应用,服务,Translations for evolution-mapi,This package contains translations for evolution-mapi.
exec-maven-plugin-javadoc,应用工具,应用,库,Javadoc for exec-maven-plugin,API documentation for exec-maven-plugin.
execstack,应用工具,核心,工具,Utility to set/clear/query executable stack bit,"This package is built from prelink sources but contains just the
execstack binary. It can be used manipulate ELF binaries to run
with or without executable stack."
exiv2,应用工具,应用,库,Exif and Iptc metadata manipulation library,"A command line utility to access image metadata, allowing one to:
* print the Exif metadata of Jpeg images as summary info, interpreted values,
  or the plain data for each tag
* print the Iptc metadata of Jpeg images
* print the Jpeg comment of Jpeg images
* set, add and delete Exif and Iptc metadata of Jpeg images
* adjust the Exif timestamp (that's how it all started...)
* rename Exif image files according to the Exif timestamp
* extract, insert and delete Exif metadata (including thumbnails),
  Iptc metadata and Jpeg comments"
expat,系统工具,应用,库,An XML parser library,"This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers."
expect,应用工具,核心,工具,A program-script interaction and testing utility,"Expect is a tcl application for automating and testing
interactive applications such as telnet, ftp, passwd, fsck,
rlogin, tip, etc. Expect makes it easy for a script to
control another program and interact with it.

This package contains expect and some scripts that use it."
extra-cmake-modules,应用工具,应用,服务,Additional modules for CMake build system,Additional modules for CMake build system needed by KDE Frameworks.
f32-backgrounds,应用工具/桌面,应用,服务,Fedora 32 default desktop background,"This package contains desktop backgrounds for the Fedora 32 default
theme.  Pulls in themes for GNOME, KDE, Mate and Xfce desktops."
f32-backgrounds-animated,应用工具/桌面,应用,其它,Time of day images for Fedora 32 backgrounds,"This package contains the time of day images for Fedora 32
Backgrounds."
f32-backgrounds-base,应用工具/桌面,核心,其它,Base images for Fedora 32 default background,This package contains base images for Fedora 32 default background.
f32-backgrounds-extras-base,应用工具/桌面,应用,其它,Base images for F32 Extras Backrounds,"This package contains base images for F32 supplemental
wallpapers."
f32-backgrounds-extras-gnome,应用工具/桌面,应用,服务,Extra F32 Wallpapers for GNOME and Cinnamon,"This package contains F32 supplemental wallpapers for GNOME
and Cinnamon"
f32-backgrounds-extras-kde,应用工具/桌面,应用,服务,Extra F32 Wallpapers for KDE,This package contains F32 supplemental wallpapers for KDE
f32-backgrounds-extras-mate,应用工具/桌面,应用,服务,Extra F32 Wallpapers for Mate,This package contains F32 supplemental wallpapers for Mate
f32-backgrounds-extras-xfce,应用工具/桌面,应用,服务,Extra F32 Wallpapers for XFCE,This package contains F32 supplemental wallpapers for XFCE
f32-backgrounds-gnome,应用工具/桌面,应用,服务,Fedora 32 default wallpaper for GNOME and Cinnamon,"This package contains GNOME/Cinnamon desktop wallpaper for the
Fedora 32 default theme."
f32-backgrounds-kde,应用工具/桌面,应用,服务,Fedora 32 default wallpaper for KDE,"This package contains KDE desktop wallpaper for the Fedora 32
default theme"
f32-backgrounds-mate,应用工具/桌面,核心,服务,Fedora 32 default wallpaper for Mate,"This package contains Mate desktop wallpaper for the Fedora 32
default theme."
f32-backgrounds-xfce,应用工具/桌面,核心,服务,Fedora 32 default background for XFCE4,"This package contains XFCE4 desktop background for the Fedora 32
default theme."
fabtests,应用库,系统,库,Test suite for libfabric API,"Fabtests provides a set of examples that uses libfabric - a high-performance
fabric software library."
fapolicyd-selinux,应用服务,核心,服务,Fapolicyd selinux,The fapolicyd-selinux package contains selinux policy for the fapolicyd daemon.
fcitx-data,应用工具/桌面,系统,其它,Data files of Fcitx,The fcitx-data package provides shared data for Fcitx.
fcitx-gtk3,应用工具/桌面,应用,服务,Fcitx IM module for gtk3,This package contains Fcitx IM module for gtk3.
fcitx-libs,应用工具/桌面,应用,库,Shared libraries for Fcitx,The fcitx-libs package provides shared libraries for Fcitx
fcitx-pinyin,应用工具/桌面,系统,工具,Pinyin Engine for Fcitx,This package contains pinyin engine for Fcitx.
fcitx-qw,应用工具/桌面,系统,工具,Quwei Engine for Fcitx,This package contains Quwei engine for Fcitx.
fcitx-table,应用工具/桌面,系统,工具,Table Engine for Fcitx,This package contains table engine for Fcitx.
fcitx-table-chinese,应用工具/桌面,核心,工具,Chinese table of Fcitx,The fcitx-table-chinese package provides other Chinese table for Fcitx.
fcoe-utils,系统工具,应用,工具,Fibre Channel over Ethernet utilities,"Fibre Channel over Ethernet utilities
fcoeadm - command line tool for configuring FCoE interfaces
fcoemon - service to configure DCB Ethernet QOS filters, works with lldpad"
felix-gogo-command,应用工具,应用,库,Apache Felix Gogo command line shell for OSGi,"Apache Felix Gogo is a subproject of Apache Felix implementing a command
line shell for OSGi. It is used in many OSGi runtimes and servers.

This package implements a set of basic commands."
felix-gogo-shell,应用工具,应用,库,Apache Felix Gogo command line shell for OSGi,"Apache Felix Gogo is a subproject of Apache Felix implementing a command
line shell for OSGi. It is used in many OSGi runtimes and servers.

This package provides a simple textual user interface to interact with the
command processor."
felix-parent,应用库,应用,工具,Parent POM file for Apache Felix Specs,Parent POM file for Apache Felix Specs.
fence-agents-aliyun,应用服务,系统,服务,Fence agent for Alibaba Cloud (Aliyun),The fence-agents-aliyun package contains a fence agent for Alibaba Cloud (Aliyun) instances.
fence-agents-aws,应用服务,系统,服务,Fence agent for Amazon AWS,Fence agent for Amazon AWS instances.
fence-agents-cisco-ucs,应用服务,系统,服务,Fence agent for Cisco UCS series,"Fence agent for Cisco UCS series devices that are accessed
via the SNMP protocol."
fence-agents-common,应用服务,系统,服务,Common base for Fence Agents,"A collection of executables to handle isolation (""fencing"") of possibly
misbehaving hosts by the means of remote power management, blocking
network, storage, or similar.

This package contains support files including the Python fencing library."
fence-agents-compute,应用服务,系统,服务,Fence agent for Nova compute nodes,Fence agent for Nova compute nodes.
fence-agents-gce,应用服务,系统,服务,Fence agent for GCE (Google Cloud Engine),Fence agent for GCE (Google Cloud Engine) instances.
fence-agents-ifmib,应用服务,系统,服务,Fence agent for devices with IF-MIB interfaces,"Fence agent for IF-MIB interfaces that are accessed via
the SNMP protocol."
fence-agents-ilo-mp,应用服务,核心,服务,Fence agent for HP iLO MP devices,Fence agent for HP iLO MP devices that are accessed via telnet or SSH.
fence-agents-intelmodular,应用服务,系统,服务,Fence agent for devices with Intel Modular interfaces,"Fence agent for Intel Modular interfaces that are accessed
via the SNMP protocol."
fence-agents-kubevirt,应用服务,系统,服务,Fence agent for KubeVirt platform,Fence agent for KubeVirt platform.
fence-agents-redfish,应用服务,系统,服务,Fence agent for Redfish,The fence-agents-redfish package contains a fence agent for Redfish
fence-agents-rsb,应用服务,核心,服务,Fence agent for Fujitsu RSB,"Fence agent for Fujitsu RSB devices that are accessed
via telnet or SSH."
fence-agents-scsi,应用服务,系统,服务,Fence agent for SCSI persistent reservations,Fence agent for SCSI persistent reservations.
fence-agents-vmware-soap,应用服务,系统,服务,Fence agent for VMWare with SOAP API v4.1+,Fence agent for VMWare with SOAP API v4.1+.
fence-agents-wti,应用服务,系统,服务,Fence agent for WTI Network power switches,"Fence agent for WTI network power switches that are accessed
via telnet or SSH."
fence-virt,应用服务,系统,服务,A pluggable fencing framework for virtual machines,Fencing agent for virtual machines.
fence-virtd,应用服务,系统,服务,Daemon which handles requests from fence-virt,"This package provides the host server framework, fence_virtd,
for fence_virt.  The fence_virtd host daemon is resposible for
processing fencing requests from virtual machines and routing
the requests to the appropriate physical machine for action."
fence-virtd-cpg,应用服务,核心,工具,CPG/libvirt backend for fence-virtd,"Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes."
fence-virtd-libvirt,应用服务,系统,服务,Libvirt backend for fence-virtd,"Provides fence_virtd with a connection to libvirt to fence
virtual machines.  Useful for running a cluster of virtual
machines on a desktop."
fence-virtd-multicast,应用服务,核心,工具,Multicast listener for fence-virtd,Provides multicast listener capability for fence-virtd.
fence-virtd-tcp,应用服务,系统,工具,TCP listener for fence-virtd,Provides TCP listener capability for fence-virtd.
fetchmail,应用工具,系统,服务,A remote mail retrieval and forwarding utility,"Fetchmail is a remote mail retrieval and forwarding utility intended
for use over on-demand TCP/IP links, like SLIP or PPP connections.
Fetchmail supports every remote-mail protocol currently in use on the
Internet (POP2, POP3, RPOP, APOP, KPOP, all IMAPs, ESMTP ETRN, IPv6,
and IPSEC) for retrieval. Then Fetchmail forwards the mail through
SMTP so you can read it through your favorite mail client.

Install fetchmail if you need to retrieve mail over SLIP or PPP
connections."
ffmpegthumbnailer,应用工具,应用,库,Lightweight video thumbnailer that can be used by file managers,This video thumbnailer can be used to create thumbnails for your video files.
fftw,应用库,系统,工具,A Fast Fourier Transform library,"FFTW is a C subroutine library for computing the Discrete Fourier
Transform (DFT) in one or more dimensions, of both real and complex
data, and of arbitrary input size."
fftw-libs-double,应用库,系统,库,"FFTW library, double precision",This package contains the FFTW library compiled in double precision.
fftw-libs-long,应用库,系统,库,"FFTW library, long double precision","This package contains the FFTW library compiled in long double
precision."
fftw-libs-quad,应用库,系统,库,"FFTW library, quadruple","This package contains the FFTW library compiled in quadruple
precision."
fftw-libs-single,应用库,系统,库,"FFTW library, single precision",This package contains the FFTW library compiled in single precision.
fftw-static,应用库,核心,库,Static versions of the FFTW libraries,"The fftw-static package contains the statically linkable version of
the FFTW fast Fourier transform library."
fdo-admin-cli,应用工具,系统,服务,FDO admin tools implementation,FDO admin tools implementation
fdo-client,应用工具,系统,工具,FDO Client implementation,FDO Client implementation
fdo-init,应用工具,系统,工具,dracut module for device initialization,dracut module for device initialization
fdo-manufacturing-server,应用工具,系统,服务,FDO Manufacturing Server implementation,FDO Manufacturing Server implementation
fdo-owner-cli,应用工具,系统,工具,FDO Owner tools implementation,FDO Owner tools implementation
fdo-owner-onboarding-server,应用工具,系统,服务,FDO Owner Onboarding Server implementation,FDO Owner Onboarding Server implementation
fdo-rendezvous-server,应用工具,系统,服务,FDO Rendezvous Server implementation,FDO Rendezvous Server implementation
file,应用工具,系统,库,A utility for determining file types,"The file command is used to identify a particular file according to the
type of data contained by the file.  File can identify many different
file types, including ELF binaries, system libraries, RPM packages, and
different graphics formats."
python3-magic,应用库,系统,库,Python 3 bindings for the libmagic API,"This package contains the Python 3 bindings to allow access to the
libmagic API. The libmagic library is also used by the familiar
file(1) command."
file-roller,系统工具,应用,工具,Tool for viewing and creating archives,"File Roller is an application for creating and viewing archives files,
such as tar or zip files."
filesystem,基础环境,其它,其它,The basic directory layout for a Linux system,"The filesystem package is one of the basic packages that is installed
on a Linux system. Filesystem contains the basic directory layout
for a Linux operating system, including the correct permissions for
the directories."
findutils,系统工具,核心,工具,The GNU versions of find utilities (find and xargs),"The findutils package contains programs which will help you locate
files on your system.  The find utility searches through a hierarchy
of directories looking for files which match a certain set of criteria
(such as a file name pattern).  The xargs utility builds and executes
command lines from standard input arguments (usually lists of file
names generated by the find command).

You should install findutils because it includes tools that are very
useful for finding things on your system."
fio,应用工具,系统,库,Multithreaded IO generation tool,"fio is an I/O tool that will spawn a number of threads or processes doing
a particular type of io action as specified by the user.  fio takes a
number of global parameters, each inherited by the thread unless
otherwise parameters given to them overriding that setting is given.
The typical use of fio is to write a job file matching the io load
one wants to simulate."
fipscheck,应用库,系统,工具,A library for integrity verification of FIPS validated modules,"FIPSCheck is a library for integrity verification of FIPS validated
modules. The package also provides helper binaries for creation and
verification of the HMAC-SHA256 checksum files."
fipscheck-lib,应用库,系统,工具,Library files for fipscheck,This package contains the FIPSCheck library.
firefox,应用工具/桌面,应用,服务,Mozilla Firefox Web browser,"Mozilla Firefox is an open-source web browser, designed for standards
compliance, performance and portability."
